%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -1.208514408   -1.035967952   2.603715566    -1.371511863   -4.308341687   4.475461851    -4.805312173   0.5611584437   -1.852453176   -2.288873077   -0.03820319245 -1.977670838   -3.576884785   -2.533246938   4.388988072    4.178767669    -1.478157557   -2.165763083   2.190031197    -1.178668548   -2.583778409   -2.371333549   0.5858655293   -1.473632591   -3.978221176   -5.091778242   4.191819394    -2.158670079   3.369717365    -3.950668294   3.687495578    4.788857689    -2.971503569   3.21109226     -0.4620856937  -0.4443236468  2.312292769    -1.779915641   -1.503446731   -1.034620929   -3.241596098   -2.044645663   4.440601131    1.308154407    -2.794948566   4.371783123    -2.008366466   -1.981031123   0.8068254077   -2.606404152   -2.843838297   -4.905804407   -0.9610012993  2.732259393    2.124874577    0.6541010053   0.09537591994  4.350792596    -4.246604193   1.614458845    139.936235     
2        NO_ID      2.602243978    -1.940956598   1.925184786    -4.395625575   1.020490425    4.339499436    -0.9054638461  -1.248350491   -1.00931348    0.8726580481   -4.487703974   -2.88123784    4.513401734    2.32966393     -4.885489207   -0.0356817786  -1.360202669   1.331593607    0.7173643086   4.195778915    -0.9715649511  -3.737932524   -1.352877958   -1.913945508   4.863918391    3.370366937    0.828378183    -3.194778157   3.859668196    -0.483534218   -2.704896467   -0.1818118677  1.182956878    -4.419009028   -0.518884976   -5.091230153   -4.217987548   3.708437461    -3.265129906   -3.432710354   2.959701112    -1.052384321   2.910567429    3.851581991    -0.9323378988  -4.672657728   -4.143302739   -1.370014476   -4.702716657   0.01592612717  1.42862222     -1.709680759   -2.587406256   -4.415628285   0.415005067    3.449664878    -1.915491483   0.791208053    0.5171119737   2.227112129    484433.2769    	4.84433e+05	4.84433e+05
3        NO_ID      -3.283400799   1.510496506    3.416259016    -2.263754628   -3.829318606   -4.928766213   2.182177571    -3.374524296   0.8956865018   -1.611096197   3.195835641    -0.2602904625  2.897928299    -0.0261661212  -1.76287156    1.328662768    2.137634071    -3.583878956   4.852541176    -4.489973352   1.252871359    -3.455647842   -3.397367997   4.037390653    2.34387891     -0.1608913755  0.5793304017   2.050654802    -3.811950977   -3.533595156   1.285270409    -4.826266817   -0.3503949907  4.177814819    1.833234905    -1.429112678   -2.420195895   1.481345687    1.179756398    3.180937665    -0.06964719167 -4.854187014   5.029677768    4.206479224    -4.930392675   -3.907732533   -2.476933577   2.783500857    -2.780926135   -1.975066132   -4.5281651     0.9354508158   1.264774996    4.490835872    -1.297014168   2.426014293    -0.8952938246  -3.78583138    1.978527053    1.874697072    238.729016     	2.38729e+02	2.38729e+02
4        NO_ID      4.825035825    -3.150744021   -4.355006382   -2.459468121   -1.348903376   2.13554155     2.96970376     1.288353527    1.686938002    -0.01612939765 -2.723926692   -3.494801636   -4.481873684   3.90356656     -4.748321647   -3.926574491   -0.9534978748  2.976242891    2.713593075    -4.299102629   -2.40271273    -3.33098844    3.45017829     1.576060631    -1.45026572    1.099950572    3.539096705    4.853172857    0.7630782464   -3.801771711   3.880332894    2.587083755    -0.7242157119  -4.19976423    4.395012649    1.840421632    -2.326564837   4.607837549    -3.115740983   5.012144975    2.317103301    0.945166168    1.900688352    4.149935705    -1.631637956   3.981103147    1.827936679    -4.066742631   0.08265631504  4.111710305    -4.355315241   -4.494837035   1.802142141    4.601566626    2.751820331    -4.003494021   2.609284208    1.470352502    -2.965245363   4.849121952    -75650.52092   	-7.56505e+04	-7.56505e+04
5        NO_ID      3.629684173    2.930861642    -3.322744326   -0.0803174118  -3.386759022   3.871925403    -1.484240493   -0.2016870715  0.4053708702   -2.783988676   -4.238633557   -1.544725639   4.05262834     0.7435569318   0.6731030805   4.259009433    0.8916292199   1.248071093    3.274708706    -1.794661756   4.959702525    -0.5935738029  -4.563508473   3.428995494    -4.612474725   -0.349041953   -1.173302164   4.400836215    2.468001943    3.526871154    0.4111136859   -1.562425393   3.773873968    -4.08918315    2.992537366    -2.691886858   -4.676238313   3.376080693    3.021973731    -2.350660991   1.053177052    4.841034605    3.243003426    -4.598659678   1.874143385    0.4867961933   -4.979993352   1.349846979    -3.256177473   -2.968006729   1.630875999    3.414528967    -3.635477525   3.77594755     -3.110850112   -2.084521424   -0.2699824902  3.485652778    -4.920023105   -4.028330072   29050.9388     	-7.56505e+04	-7.56505e+04
6        NO_ID      -4.915488276   2.296636538    0.5404998495   -2.743873728   -2.523691291   -3.972147929   3.238362161    -4.479276104   4.455485369    4.191422578    1.716989427    -1.52221633    -0.2612625903  1.718326226    2.63203833     3.795221523    3.845636676    4.801447023    2.26400081     -1.448065363   2.202657559    -4.498953054   -1.227561292   0.788566807    3.502431623    3.83139121     2.38921004     2.358736932    -2.362040081   3.295773618    0.393268624    -4.164138277   -5.119894228   -5.096298195   1.322589777    2.427378754    3.425615169    2.295159825    4.125158012    -0.2914325029  -2.336469015   3.648279523    -2.429162217   -3.205341015   -2.158596754   3.041276359    3.340801597    -1.814696005   -2.494948826   -2.242414512   -2.48311593    4.915401077    -1.35317822    -3.417206623   0.9240875324   -2.807979788   4.873721858    2.876234767    -1.85219008    0.01446700368  -1406.866788   	-7.56505e+04	-7.56505e+04
7        NO_ID      -2.64146409    -0.8662232892  1.184774826    -2.598916535   -2.347159555   0.5130239721   2.018849749    2.668229574    1.274888883    -4.122079077   -2.43416948    2.394138139    0.6797535959   -1.230637508   2.442949029    -1.580595372   4.249454864    -1.971085205   3.768008934    -0.319791678   0.4767950382   1.650186551    -0.3018021691  -3.418774948   -0.9108286577  0.6225245784   -2.492450051   4.475172052    -0.01170948179 3.0570945      -3.777057107   -4.641828188   4.878076064    0.9588514692   3.440259828    2.634166221    -2.61511174    -3.272278549   -4.967077537   1.530215361    -2.618925065   4.382785656    -1.38429994    -0.04371796446 4.816889605    4.099546521    3.71394994     2.603808291    1.659709174    5.073564183    4.184382593    -4.066405266   -3.743366848   -4.993154994   4.268305686    3.966305044    -4.554981141   1.894583615    0.6150359312   3.537010779    -1828.157029   	-7.56505e+04	-7.56505e+04
8        NO_ID      -1.046692942   -3.421255113   -4.958347885   -0.2551000332  4.853700126    -0.1050826669  2.395437083    -2.313077309   -3.868525288   -2.430535938   -3.896000409   4.683155762    4.694768029    2.975932424    3.231547243    -3.848337611   5.037111237    1.924638839    -2.001731969   1.763914329    -0.4487824427  4.969951136    -0.3500001302  1.950811556    -3.018874445   -2.586200482   -1.357142275   3.563167599    3.780864461    -3.019141277   -1.337840321   1.806621679    1.614817181    4.593663856    4.6575198      4.911822448    1.585081953    -0.5665228749  0.3054057589   1.039470031    -4.479830059   -1.614673598   3.455700862    -2.081137928   -2.050825485   0.2587551077   3.886351225    -4.280501013   -2.028073601   -5.072642616   -3.733297794   -2.435606269   -3.17243979    -3.14928903    -2.013236491   -2.641956294   -2.876677604   1.53649011     -2.21274606    2.559547107    250313.4191    	-7.56505e+04	-7.56505e+04
9        NO_ID      2.080308801    2.139738748    -4.032167924   5.058315395    -1.693742563   -2.995197771   -0.151976242   4.582385491    -2.580176565   2.899091887    -1.790052763   3.015676558    -1.276653847   -3.893170302   3.385600935    0.8439212796   -2.824527466   1.135717168    1.990476329    -1.045164768   -1.079968372   3.262895924    -1.263930177   -4.739198474   4.073566591    2.276445026    -1.57708074    1.059501556    -4.122650633   0.8553875814   -1.46831756    2.760865028    4.976055384    0.5554107655   -4.553192331   2.318252519    -3.457482552   -0.6603326468  -1.390038685   -1.576555751   0.6450291044   -0.0470756125  3.344385559    -1.704228723   -1.043740102   4.062742446    -0.3793177049  -0.1406762056  -2.236186112   -2.279412181   -4.92657423    4.6895151      -4.523898802   3.469584608    -0.05203526917 -2.905258073   0.5427155103   -1.695733908   -1.108480937   4.727652042    45529.49675    	-7.56505e+04	-7.56505e+04
10       NO_ID      -1.693982228   -3.486050749   -1.360739865   -1.836029732   0.4995923957   -0.5507154567  -2.101219514   4.905328831    -0.8111731814  -4.40422859    -0.9403560845  4.926558246    0.1926582782   -3.017942633   -4.253966318   -3.616413194   -0.8448821756  1.062766653    -1.17467817    -3.144565941   4.610930922    0.4635921879   -3.304018797   4.164312964    4.225183675    -0.8782751774  -5.003042005   3.79164858     -3.27733024    0.7173215756   1.167573429    3.413615267    -4.008329294   -3.743090459   -1.101809142   -4.270015254   2.94050068     -4.362898163   4.574032792    -4.439393287   -0.6658102978  -0.7757376034  3.807383235    4.740402983    2.900738463    2.65857887     2.579006105    0.6262606585   -3.454974058   2.397441766    -3.876334255   -2.853939104   2.591252644    2.566863605    4.840711496    1.939743538    -0.06640996864 -0.6842383476  4.787788069    3.218006394    -7957795.239   	-7.95780e+06	-7.95780e+06
11       NO_ID      -3.029074481   -2.509510698   4.578610072    2.523080794    -1.437561113   0.6495586549   -2.233040616   -3.04125457    3.594876036    0.5785654874   2.360964472    -1.115681934   2.053748843    2.79301979     3.876860371    -0.710321001   -1.082811867   -1.543710292   -3.428689269   1.009198266    3.625193198    4.582432479    -2.412508459   -4.54170963    -3.087676732   3.172617195    3.953982703    -2.771819826   -0.8288526826  -4.485407094   -0.01581165226 -2.338335529   0.5012568893   1.656087292    -1.380823686   -4.93118801    -4.407889868   -1.65559524    -2.885450722   2.330801138    4.333809407    2.394336953    -2.0106728     -1.356787277   2.540463779    4.914928281    -3.310808458   -3.886320158   -3.921530625   -4.736844352   -4.162434111   -4.40228539    4.677790417    -4.308939536   3.430131932    2.481450543    4.034543048    -4.829759522   0.3668950938   -1.73632734    570.422086     	-7.95780e+06	-7.95780e+06
