%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -4.165577069   -1.332925088   -2.773615055   0.6658845438   0.1910968568   -4.53369548    -1.540914104   -2.904958219   0.4978074414   -4.031919246   -4.513478376   3.106789288    2.113656556    2.832425993    1.526029508    0.396227133    -3.812547202   -0.3808078374  1.488774047    0.877507732    -4.422304067   -1.284974912   0.6201765022   -5.032339303   5.077832258    -1.80538444    1.53371723     3.786961917    4.591905314    -4.618856161   -0.2005226202  -4.37699067    -0.9232196451  -4.487099503   4.623631705    -1.12292773    1.852734985    1.204948828    -2.855248074   2.568007113    -1.094621656   4.478618012    1.748086359    -4.30112768    3.330780479    4.043512421    -4.767680869   0.8618335648   -3.311348014   -2.279726404   0.2430975789   1.82055655     -3.800598655   -0.9187821815  -0.3551543677  4.18275841     -1.025054192   -1.916870427   5.049092687    -1.333292589   12631.75406    
2        NO_ID      -1.684868371   -4.672886539   -1.620304675   4.395612324    3.602707081    3.941304452    -1.642526106   1.20634957     -1.143168082   1.959270951    -5.092701201   -0.6455034201  -2.97997319    -3.929911466   -4.138204033   -3.358615255   4.667983485    -4.52887046    -0.8610196131  -1.849645651   2.747614302    2.239852681    4.323862571    3.375840544    -3.453038587   0.1264280368   1.178656549    -1.495381966   0.9219280494   0.9052685806   -2.172672905   -1.060692246   2.474284835    -3.425234833   1.060969245    -3.944400443   -2.111378979   -3.67855649    -3.087158968   -3.275019197   2.812112685    3.885598005    2.658450065    -4.007563861   3.160008417    1.954522169    -2.476469102   -5.101282932   1.837422945    -2.033020367   1.656857313    -1.943682096   0.9301766721   0.0755724268   -2.503255417   -0.9833944156  -4.733375374   -2.604076413   0.2929757222   -3.679880295   7402.990813    	7.40299e+03	7.40299e+03
3        NO_ID      3.40144844     -2.106775293   -4.901483089   -0.9720199698  -0.6392827249  1.02098409     -3.132107096   1.737151164    -2.504979782   -0.6855159445  -0.2940488927  1.9670992      -3.885798417   1.78813736     -4.661349555   -1.479604522   -1.480446751   0.4165609636   1.052069631    2.717308471    -3.344326987   1.289749077    1.582377462    3.241512006    4.498690614    4.917123752    0.07231314251  3.4696785      1.94253039     -3.329052947   3.134633947    -1.801081373   2.340581772    3.530681783    -3.257676475   4.080477877    -2.794739078   -1.712001579   3.255913211    -2.109838344   -1.296682285   -4.618954519   0.1324469043   4.266327294    -1.893126163   -5.024638766   -0.3125207078  4.653539968    -4.361223751   0.6714692962   -3.473290156   -5.027343805   -4.865611174   0.4052096884   2.457746947    -2.960578302   2.498692427    -3.924605766   1.430528344    -4.812288903   -1421815.203   	-1.42182e+06	-1.42182e+06
4        NO_ID      -2.81301585    5.116752955    0.5215125776   -1.183275595   2.370424456    -4.663117936   -2.201292106   -0.9113479094  -1.699615292   2.313599014    3.112694818    -0.5835922565  -4.992400604   -1.998882443   -1.540387889   0.7090503103   4.509445266    -4.961937526   -2.117659197   2.90483366     0.6752580613   2.253573609    3.086963822    2.512642377    -0.132231193   -3.497986678   1.29161539     0.7563016725   0.3923526176   -0.1891646417  0.3726173205   -2.899443807   -4.464228951   -2.04319285    1.487055712    1.256571566    -2.615562235   2.588344159    0.3621067936   4.939377212    3.133158354    2.576789149    -3.086802693   4.910843579    -3.158622098   3.069982959    4.409656719    -2.54405293    2.070907998    -4.889603654   -0.5675341295  -3.633688269   0.8903485936   1.249205076    -3.742432812   0.1358979976   -3.299721659   3.100072373    -2.791338169   3.121331693    19470.28752    	-1.42182e+06	-1.42182e+06
5        NO_ID      -3.571717064   -1.07341509    -4.428925145   0.8036825091   4.791320965    2.521434595    -0.1681901331  4.507520834    1.761745124    4.690403189    0.4239548604   -4.99349128    -0.6089649933  4.902469743    1.197309128    1.705004271    -0.07700002339 3.200521576    -2.747677937   2.27267686     2.491053428    5.055396275    -2.343831303   -3.663657423   -1.571651656   1.71987818     1.873231445    0.03636586859  -1.618123419   1.375642929    -0.8449824246  0.1934974073   -1.549322423   2.544630595    4.569344125    1.426550572    -2.929391015   -2.63970262    -4.052509643   3.863871001    3.821539971    1.960469711    -1.682234674   0.8342500217   -2.480817647   0.2080440758   -1.629244389   0.5892512233   0.9435618374   5.050993817    -3.079535643   3.302879466    3.289591842    4.19613737     4.563679828    -0.2195378894  -4.373039329   1.352455295    -1.33386308    -0.1760535733  -18497.70349   	-1.42182e+06	-1.42182e+06
6        NO_ID      3.821086462    -0.007521612954 -3.766701425   -4.114486746   -1.922427273   0.1398249868   -2.966550349   -1.389717475   -4.043627651   0.9214467341   0.569985288    -3.137478818   3.271951947    2.984870206    2.90957671     3.738097828    -3.631430756   -3.653424366   -3.055518262   -3.686513436   0.775311826    1.543036599    4.422239587    3.47096827     2.772366708    -2.562549051   3.828257297    -2.409075797   -0.6325336947  -1.098550027   2.993252114    4.616180626    3.061026603    -0.4747409269  5.082622949    -2.822369074   -3.424186309   3.802960843    -4.500976822   2.427964717    -1.990794615   0.4163083504   -1.476416945   -0.6270056066  4.935436044    -3.960191164   2.155961657    0.1114271434   -5.086133949   3.335863781    -2.191427552   -3.886190955   2.524755545    -3.715508751   -3.030110097   4.93243669     -1.192293652   1.286610039    -1.274572255   4.813222883    20485.53103    	-1.42182e+06	-1.42182e+06
7        NO_ID      3.721381238    1.501409487    -2.261225603   3.415467256    3.865091918    3.403406051    -2.563367615   3.45783304     -4.454874931   -0.3161418595  -4.680068613   -0.4698298278  -4.509157427   -3.378988826   1.105353859    3.34868248     -1.825798499   1.231736704    2.647270084    -3.593906691   1.172646378    -4.415292549   -4.471348462   1.854326103    2.037235521    3.472890491    -2.821011574   4.314393927    -2.212664383   -2.010930217   -1.105005711   -4.79874319    -2.557968736   0.3291520712   -3.747907335   5.047878664    -0.5896001114  3.709091217    -2.249630354   5.046762913    -3.603050439   4.393171667    -3.363283286   -4.428281985   4.189622029    4.457886415    3.410178685    3.020706484    -4.40782963    -1.010106403   -2.773608492   2.386152289    0.4683356515   3.852950072    2.999017281    1.646109466    3.96140886     -1.183886781   0.1070130616   -2.534486518   -6572.015538   	-1.42182e+06	-1.42182e+06
8        NO_ID      -4.912545154   4.138675552    -0.3904893805  -3.171290291   2.954764254    -1.366742328   -4.344376695   -3.0469126     2.716842844    4.038758752    4.525884993    3.41912487     3.859634179    3.229179458    0.1098786155   -4.665298454   1.031194386    -2.419041614   -1.253480458   -4.418336422   -2.287874675   0.9945551418   -2.470036121   2.902522402    1.390441282    1.938955979    -2.195555785   -0.2385598691  1.990602585    -0.3194110239  1.248759745    1.159679987    3.330020786    -5.080922148   2.3790209      3.567517486    -5.011071121   0.5839043527   0.556178537    -1.080673212   0.5752996661   -1.911731804   -0.3602268153  3.690362881    2.432138001    2.117445615    -4.687108552   4.784123116    5.07821652     -0.4416915556  -3.720008373   1.08082738     1.46645396     -1.254874128   4.726741173    3.56143552     4.469974918    -2.473568871   -0.955207359   4.327180951    -22392.47268   	-1.42182e+06	-1.42182e+06
9        NO_ID      -4.510952385   -3.379829554   -3.297462212   -3.256522024   2.702018595    3.361268786    -3.569211345   3.102782647    3.417878834    1.361219854    0.1185831539   -2.429168326   4.565952476    -4.530856285   -1.71594057    -4.407997613   2.003956491    2.054818884    -4.021868191   -0.7008535838  -4.200093494   3.098885825    -4.934889422   4.028392846    -0.8502380609  -4.808557353   0.6049701002   -3.415527151   4.065668795    -4.985711027   -0.5150641738  -1.350396835   -1.17330256    3.660397463    3.987058169    -0.105020117   -1.490166576   1.664336945    1.625873175    -3.493784696   3.440194001    4.702715752    1.952403127    -4.569343781   -1.390888878   -2.27521504    -1.115996065   -0.3655223498  -4.532229236   -0.5423691527  -2.759703689   -1.48576956    0.7488696371   4.902912005    -1.746288511   -4.977174011   4.525377306    1.172307649    1.811807895    -2.575620754   -142.680058    	-1.42182e+06	-1.42182e+06
10       NO_ID      4.34552292     -3.122891546   -3.241345238   -0.6100552509  -3.938387701   -4.158813854   -4.485430853   -4.615189461   -1.545264137   2.585680267    3.532314846    4.370643749    1.151608568    0.4993016769   4.070029206    1.797570857    -1.68132936    3.947610405    -0.264485956   3.889484092    2.396781005    0.4428044722   -1.850101567   3.664856312    -3.921427777   -2.671508862   -0.4502863543  1.210345348    2.202466045    -0.9866250823  5.090335145    -2.813705128   4.251909724    3.699847948    0.9145667616   2.760800145    -3.279448549   -1.239217917   4.501568962    -2.207284083   1.854119421    4.259773825    1.204849871    -1.96812374    -4.782820284   -4.163120237   -1.000844336   -3.551086429   1.569661381    2.76706232     -0.2749110814  -0.391885769   1.984390106    -4.224305281   1.899883906    -0.8196708456  -3.960707544   4.193097744    0.7374123261   0.6987430735   9173.7579      	-1.42182e+06	-1.42182e+06
11       NO_ID      0.3299159211   0.5484291711   0.474046436    -0.4367000172  3.917770793    1.73583464     -1.308796217   -4.193086039   -2.585785853   3.575141938    2.15197486     -1.85710019    -4.344073895   1.059350071    -3.949820464   0.498032044    -4.562923098   -3.377590055   -4.922725407   -3.250726246   -0.6587874379  -2.949197319   2.952879057    -2.484684818   4.401903026    -4.903613974   -2.61093377    -3.121684698   4.905481402    4.661794541    -2.51443373    -2.39726272    -3.497431796   -2.630999872   -4.698014812   0.8024772943   -1.070032165   -5.114061768   -1.413913748   -1.716375276   -3.341990195   3.065642841    4.027101441    4.023364791    -1.030535769   -1.433864229   2.280532439    0.6864496873   -3.710168139   3.417334671    2.620150249    -3.310177226   1.038763396    -1.794392016   -0.5076611368  2.052302966    0.73953801     -4.011288965   1.903237483    0.2347751887   704.24474      	-1.42182e+06	-1.42182e+06
