%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      0.6541282567   2.325215294    4.182161369    -1.411486774   4.51190177     -0.1315956053  -4.344715712   -3.685714512   -0.6710641439  2.018947203    -0.5375412824  -2.334172997   1.286652396    -3.656339666   -1.603628327   1.803913959    -2.153511283   1.888604703    -3.236626217   -2.967327658   -0.2334263535  -2.961992899   4.858319234    -1.225515388   -3.843120031   -2.679319945   -1.371082037   -0.8094881105  4.903000117    2.346287797    1.041643665    4.508943126    3.178433541    4.569342486    -0.5321390322  2.7666776      -0.7769451967  -2.111179192   -4.846631245   -1.542943764   -0.3936843288  -4.099085247   2.746550619    2.196532872    -1.62276292    3.97484608     1.853782646    -2.992619378   0.9839591073   -0.6061217646  0.7327191168   2.540512483    -4.829190183   3.07576917     -4.818170525   3.731018663    2.138723265    4.289291607    4.295173412    -2.372897841   -460.491707    
2        NO_ID      -3.558616238   -2.398945908   3.797152875    2.582771335    3.130067615    -2.821538395   1.28383328     3.350475828    3.982832577    -3.884019813   -2.527674715   -4.467085708   -2.081152327   4.576283464    0.276588701    3.002030681    0.5923772045   1.798060596    -1.404278253   -3.284123208   -0.3601880954  5.036495345    0.4798808979   4.873288176    -0.226714857   2.040137095    0.9357592772   -0.04181346412 0.4629701694   -5.117630949   0.1088509854   -1.917567112   -2.157870747   -0.1419575632  2.628397441    0.6664128773   3.373067178    3.257991752    -2.816364255   -3.459262352   -3.108324437   -1.641219516   -2.990753295   4.962590856    -3.577477437   -3.747444741   2.831715713    3.142289457    2.475954726    -2.113220873   0.2970521193   5.109154061    -4.457597209   -0.6100003983  -4.548985189   -0.5366189848  -5.02046646    -0.6849551019  -1.218576527   -4.651762064   -198.566701    	-1.98567e+02	-1.98567e+02
3        NO_ID      -0.6567301149  -3.410832085   -4.040335941   -0.4882983905  1.600952675    -2.036383326   3.745225673    1.321499126    3.272104758    -4.044922345   4.93774062     -0.5997473262  1.653352575    0.1825769247   4.736000189    -3.117154204   2.718654578    3.766218907    -0.1200692081  2.796259888    2.111284594    -3.97977821    -4.057611265   0.0594550544   -3.939535007   4.41956435     3.499370069    5.028221594    -1.927796377   -1.263591009   -3.2090768     -3.138720262   -2.030341978   -0.2113648438  -3.045570276   3.536141868    -0.8881445858  4.665580864    2.004996168    1.132767765    1.585843185    -3.032343747   3.926527598    5.054125474    4.83530287     2.324191493    -2.971562316   -4.599569926   4.0748363      1.6794132      3.869227559    -4.364818272   -3.087258471   -1.659921131   -1.298472586   -0.01407910662 -1.422196713   -0.01186073639 1.553193081    0.7694323292   -48740.71656   	-4.87407e+04	-4.87407e+04
4        NO_ID      -4.209362232   -2.002417147   1.032485992    -4.620573488   0.4143407315   -4.33998391    -3.960682014   -3.072231677   -4.94938278    0.8323490895   0.7328503045   -3.660908362   4.53438434     -2.471688339   0.8994629986   -2.910760792   -0.127289257   3.616249446    4.592519615    -2.758330273   -5.091206592   -1.373238428   3.29504005     2.84619567     1.807995973    -2.16278592    2.735443249    -2.708068591   -1.487878782   -3.21501993    2.857218425    4.085453329    1.856173671    -4.553342895   -4.00070992    -0.4964490118  3.526923125    2.2292311      2.773261729    -4.111408228   -0.07660724454 1.636403682    1.826604053    -3.223817869   -0.8191047643  0.1192904558   -4.890681887   0.6315013495   4.254854654    3.99070378     -2.714650087   -2.211580661   5.010323333    2.181326686    -2.347545721   -4.573234009   -0.6623239969  0.255608188    1.808609915    -1.509025119   3242.473982    	-4.87407e+04	-4.87407e+04
5        NO_ID      1.364511353    -5.098965981   2.697286501    4.10358147     4.485222014    -4.096561149   -5.019372801   0.4395040751   3.553047393    4.649508416    2.346375475    -4.150613385   -4.014985088   -2.829046327   -3.571266266   2.492212645    4.203595437    0.5683638627   1.501651988    0.5487786857   1.084194304    0.3705372202   3.461883322    4.350240691    -0.7215918935  -0.1157953243  3.048689818    -1.145910289   -2.32702979    -1.411485827   -1.055674392   -1.577626792   -3.281822676   3.013652123    3.694280828    -4.225360244   -3.639598008   -4.351135086   2.548373821    2.638293333    0.7689114415   -3.433624361   4.36932524     -2.333167492   3.764522856    -2.177029693   -4.549458231   4.185015338    -2.105472722   2.921879823    -0.6924370161  -1.466323067   0.8128219051   2.875136581    2.75768578     3.262872212    -1.01192764    4.035862596    0.4285584051   2.567475585    -2716.349749   	-4.87407e+04	-4.87407e+04
6        NO_ID      -0.5692975388  3.028099558    2.799616607    -3.791705672   1.205940432    5.081993436    -2.618170848   1.176500633    -0.7509523734  -1.557794922   -4.516914696   -3.980081923   1.446399506    -1.326945799   1.13550742     -5.0584124     -0.5602583096  -3.378073122   -3.172112435   -0.1851355684  0.4753723568   0.6411770979   -3.934223802   -4.467932685   -2.642294103   -3.815393683   -4.786602516   1.523700782    -1.253699321   -2.419060253   -1.720768819   0.4307481493   0.6772635236   -0.7509245495  1.959075461    0.4099693825   -2.17559859    -4.610089704   1.849371553    0.9487304847   -1.612512969   -4.512719081   -2.639455911   2.830097258    -4.258301172   -1.84557288    -2.259862809   4.933455736    1.897743825    1.854354936    3.359450065    -4.758580069   1.126769034    -1.425605768   -2.422946729   -3.75231279    2.377416746    2.062638777    -5.090357803   -2.649899019   45904.96478    	-4.87407e+04	-4.87407e+04
7        NO_ID      3.646425463    0.8182068417   4.617715849    0.3884812566   1.818689653    1.559734674    -0.4216387438  -2.642282192   -2.346025732   -0.4250924151  -4.170088621   -1.778358417   -4.201193935   2.606032568    -0.0185223491  -3.895155666   4.969045119    -3.672708702   0.6814420023   1.353158648    3.228760914    -2.329595281   -4.42275768    4.116326153    0.01359382861  -2.836017014   4.560553032    1.299818387    0.6192117836   -2.347747948   1.77179882     1.847560487    2.073182457    2.720346546    0.3137556731   1.241285355    0.9081286757   -4.205855195   2.206669669    3.349615504    2.838740321    -4.931516815   1.614502417    1.304236765    3.831480896    3.670430738    -0.9293913055  3.279452192    2.812334346    -3.066898659   2.312007258    -2.635739833   5.07008524     1.435966882    -3.016528535   3.037790642    3.464681412    -3.471415848   4.367232364    1.072481127    639.306949     	-4.87407e+04	-4.87407e+04
8        NO_ID      2.767167239    -4.152739795   -4.84089143    -0.7869795334  -3.725649379   0.7609874662   2.600577247    -4.599168654   -3.801752873   -0.3233529462  -1.426783233   2.912713479    -4.304840577   -4.11824092    -1.897212944   0.9979903858   -4.363094909   3.872216231    -0.4325851813  -4.224713157   4.952171871    -3.4688967     0.7236283179   3.717621359    -3.410062805   1.602949624    -0.6456046795  -2.137513171   4.605165114    -2.087542136   3.523631555    1.097588498    2.020138208    -3.93114669    3.960369632    4.497935024    -0.02712545061 3.670611212    0.3128963175   -0.5014476838  4.287223868    4.236252011    -2.30578058    -3.150236119   -1.414172206   0.7400656045   -4.67976051    -2.48160595    -0.06248534045 -2.714338573   3.926389287    0.9198158348   -0.0927747437  -2.071047465   0.2584134018   2.226184897    -0.402376835   4.429217418    -0.5440424867  -4.33060482    506.74398      	-4.87407e+04	-4.87407e+04
9        NO_ID      -1.987495648   4.432220915    -1.30376215    3.049754371    4.373100153    0.8619583394   -3.834125579   4.051335347    -1.009162572   -2.64471124    3.011248403    3.123586106    -1.876524412   -4.952528303   1.083078755    -2.605496362   2.443365122    1.12527856     -4.68656455    -1.27157091    -4.677882437   3.904758469    -1.13445998    1.20472549     3.215390368    -3.678839268   3.938033109    -2.399339465   -4.684963977   3.594731452    2.311655169    -3.648128967   -3.436874201   2.828983272    4.253726482    2.460217981    4.385488335    0.8245933713   4.271215379    2.907145948    3.840677852    -3.517229111   -4.689803145   -4.858317993   4.503754248    -1.612717788   1.310879961    -3.746163005   0.2292231138   5.055744812    4.369820671    3.354558058    -4.809584854   -3.038720014   -4.237187971   -1.013675211   2.891910156    2.00168771     3.258001324    -2.979958471   -163047.3452   	-1.63047e+05	-1.63047e+05
10       NO_ID      3.509169723    1.979348107    -1.002560169   4.02047256     2.677277692    1.053745653    1.643423368    -0.4097692591  2.509373129    -0.9851165436  2.212343592    -1.611545364   -4.136032836   2.053091754    2.108013725    -1.316684237   4.516677049    0.2806367381   4.793627215    2.52711761     1.417423501    -3.813248151   -0.5608044685  -1.980114591   -0.3975595048  -4.765936085   3.195526496    -1.660386067   1.566110859    -1.136738925   3.071377432    -3.477326732   -3.914534876   3.260747403    -0.6565864611  -2.194728281   -3.255579208   -0.8160025627  -3.143540103   -5.093063366   1.889218802    1.271295848    -4.724664442   -1.679481914   -3.984637334   4.245502204    4.158281896    -0.3773469227  0.5274834865   -4.949301259   2.504878382    1.694302782    4.719201436    2.982854997    -3.552309336   1.525194219    -4.802948476   -2.65170571    -3.16183342    2.042839155    -137.500203    	-1.63047e+05	-1.63047e+05
11       NO_ID      -4.453291254   -3.956496337   3.557486838    1.814543486    2.355249031    2.770606094    4.259921775    2.909427996    4.153139618    -5.000848585   -4.75732079    -2.794840487   2.936076583    4.870108151    -0.986572984   -4.777104603   -4.895331892   -0.9002672568  2.40004693     3.451805246    -3.27764317    -4.986861147   -0.4169274066  3.175496315    3.665662998    -0.2102792357  4.128266599    1.980431608    -2.888361449   2.501653001    3.756857703    -4.282646989   3.997809657    2.219549011    4.993434771    -3.126915995   -4.217895508   -3.240480083   -4.034393468   1.404173159    -3.288830398   -1.27304487    0.4500633241   -1.057561927   -0.4460220254  -3.966221274   -0.6792170637  -1.399633459   -2.01548586    2.428600107    -0.2314736329  -2.842398345   -0.9245284199  -0.2152099656  -4.453416569   1.028204236    3.197507622    -2.306738583   -2.172568337   -1.089500007   -12563.57513   	-1.63047e+05	-1.63047e+05
