%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -0.2614938419  3.140293404    1.382799461    2.159422522    0.8639512037   2.114667679    -0.9794277058  2.014048008    -4.964882043   -1.083599883   -4.628538745   2.637026697    -0.9157434655  -1.147098569   -1.889107012   1.728780215    0.8429836035   -0.6041278933  -0.7008428901  -3.841267752   0.6480396719   -4.047842927   -3.451635337   -3.790858446   1.203578725    3.947328554    3.291290235    3.955029733    -0.6560921726  4.878283007    0.5800426783   -0.6556377337  2.994225162    4.467678205    1.104738575    2.119066822    -1.217877328   2.153960538    2.106440483    -0.4007124425  0.4756270442   3.671248462    3.26295377     -4.394265034   -2.288990253   3.770713552    3.494596611    -0.01136474714 3.770329023    3.789931825    4.437440092    -0.9626015911  -4.643304844   3.193263015    -2.822311348   -0.0691295109  -3.129889376   -4.512789659   4.933878672    3.08848429     -17690.50925   
2        NO_ID      -1.130838736   -2.521454646   -0.9763338571  0.2274898866   2.156806851    4.49024667     -2.589982736   4.465408692    -3.354957579   5.097643502    -2.473775115   4.503837574    -3.06475643    -1.522546699   -4.46260192    -0.8098902038  1.050546028    4.79207208     0.5546958342   -4.415410159   2.188715964    -1.789763663   -3.226321076   0.179565847    -0.4460930152  -3.072455822   -4.868440468   -1.080791822   -2.40061911    -0.2535303895  -1.094031517   -1.092608417   2.375648532    -0.063191889   -3.663597105   2.678559935    0.3221774752   0.1401780744   -4.925196657   2.093926205    1.927812243    1.005742802    -3.648190888   -3.7562791     -3.88370554    3.591920417    -4.113928577   -3.390667611   -4.94210505    -4.31912472    0.9717866594   -4.957393115   -3.517186121   0.3884948059   2.074565546    2.624513719    -0.9236243622  1.645016224    3.156301988    -3.282967824   -4141.021683   	-4.14102e+03	-4.14102e+03
3        NO_ID      0.6006663941   -4.645114156   0.8094081661   1.781159561    3.41528657     -0.07527262995 -1.024980071   2.582202276    -4.083544306   2.116808337    1.037638461    -4.957625573   -2.353408518   -4.969780633   -1.362710579   -4.132211106   4.035000404    0.1904830076   -3.818290444   2.249845201    4.78450519     -1.526614547   -1.392349044   -2.323968371   -4.399489325   3.110487975    -0.9410254073  -2.476683188   -1.254987471   -1.248273522   -1.863912644   -2.766280412   -0.3552213427  -2.053528127   4.462412653    -3.794119535   0.5264742494   1.401094781    0.4633772902   -2.397405492   2.191622795    0.5574137614   -2.621701464   3.87203416     -2.473258981   -3.553346027   1.769061096    4.925181898    4.665395429    -0.02351096361 4.752421578    -1.283791489   -3.424690412   -3.044075036   1.169508025    -3.191563607   -3.003765437   2.244099833    -3.256012788   -0.2871635309  1417.924366    	-4.14102e+03	-4.14102e+03
4        NO_ID      0.007674735284 3.065578648    -2.717457473   4.596340145    3.263429214    -0.8412558607  -4.068034951   2.926598502    -3.880152656   4.155153464    0.7914697556   -2.434976885   1.75658574     2.076192144    -1.610070319   -5.079785918   4.251377219    3.145057053    0.9746939239   1.131108751    -4.406921975   0.9074736056   2.660914099    -1.242680559   2.299919703    -0.6547869583  -1.177302786   -4.017231809   1.170269217    3.691482913    -3.938276877   0.9382100703   2.690877174    1.174652986    5.075067292    4.511770341    3.122885958    -1.804235372   1.554599428    -1.991373904   -2.370977695   -0.05137318785 -1.598242457   3.392799399    -0.2301419367  1.665568983    1.963989323    2.778644165    -2.011529496   -0.7028450392  1.176827362    -0.4862213075  4.743028847    2.118185481    -4.35702755    0.2104539048   1.470263095    -4.315337249   -5.109927182   2.055908397    31316.93693    	-4.14102e+03	-4.14102e+03
5        NO_ID      4.246297636    0.2180287265   -2.175024176   -4.175157144   1.207500859    3.800407747    -0.02608136108 -4.168545919   -3.633397748   -4.897176219   -3.230199511   3.606806762    -3.349454661   -3.969968721   0.8969433902   -1.208132775   -0.7406875676  3.836619217    -4.36252235    3.977514949    -4.066648508   4.553307733    3.279971525    -3.645024787   -1.267522568   5.107572912    3.534755577    -0.7163626488  4.885360052    4.092220602    -4.303303944   -4.599682844   -1.487499281   2.469801691    -4.13849149    -1.479529511   -1.260644588   0.2677336542   1.97899543     2.035039511    4.372708639    -3.42958248    -3.743614687   4.704112103    2.053721352    -4.214864921   4.720515646    -2.264740915   -3.818094849   0.1165852364   1.382740277    -1.636216798   -3.939381169   -1.266933482   -4.12309345    2.664443643    -2.336113697   -2.164104017   -1.793846599   -3.401067572   -12499.81988   	-1.24998e+04	-1.24998e+04
6        NO_ID      1.32480733     4.698705622    4.417452216    3.57452438     4.112028898    -0.7164034419  -2.250024919   1.707335319    -1.583139671   2.459547533    1.177012909    0.4979170429   -4.270283459   3.019526593    -0.5901461422  -2.782250761   0.654372835    -0.04823394971 -3.605327758   1.294731547    3.018782851    -0.7709042862  -2.172833352   -2.565944107   -5.096349252   -4.261093985   0.1996552041   3.544930079    1.596356745    3.554899077    -2.407985161   1.455795505    1.632825764    -1.88584364    0.6294758911   -4.165572994   2.131986662    -0.02103880868 -3.610034823   -3.959867299   -1.908000843   0.8809371032   3.547580473    1.090862279    0.483824282    4.21818533     4.946473836    -2.488835967   -4.300570516   -2.428298586   -2.014678429   4.542056344    -2.863370232   -4.348345143   2.484512534    0.3758848962   -2.552358375   2.001939381    -3.892758918   -2.997003206   196344.718     	-1.24998e+04	-1.24998e+04
7        NO_ID      4.979192919    4.436031042    -2.861170679   3.455718241    2.988392447    3.477668166    4.901985285    1.021515458    1.072983094    3.927881528    3.581603534    -2.771148385   -2.611126673   4.518829418    -5.115575757   4.636820936    0.4375916058   -3.758805789   4.062364271    2.836979506    -2.132383909   0.50662926     -2.005075707   0.8429650243   4.272117588    0.729882543    3.713395953    -0.09900030532 1.872928219    4.235767159    -2.350324171   2.828758913    0.7956155547   -2.561036918   -4.972413562   0.5056425089   -0.1012628705  -0.4283545391  2.19124        -0.07974800973 -0.4576071827  1.802352295    4.217024564    0.4397193811   2.277339693    -0.7259705331  -1.46536934    -0.7861114412  5.107723778    0.788516027    -2.427722717   -3.661799271   2.552468885    -0.9076562507  4.556919563    -3.052948583   -0.7144585461  -4.229054963   -1.987807218   -0.820058223   569.738802     	-1.24998e+04	-1.24998e+04
8        NO_ID      -3.512481767   0.472531235    3.462229721    4.237397429    -3.319026237   -3.55252174    4.709319925    -1.916867603   -0.6288671877  -1.742441911   2.541337367    -0.924091413   -2.181157439   -4.907807985   1.44115846     0.9616538701   3.622909546    1.197844708    1.928314363    2.599232861    5.085700869    3.695704162    -2.975317347   -2.178424018   2.593125838    0.2449164584   -2.600638997   -2.440702345   -2.516770316   1.453118364    -2.021598438   -0.8890875423  3.716240081    -3.237237901   0.7430210066   -0.6340108019  -1.537266146   2.052446895    4.043537152    -0.947251261   -4.918663423   -0.6746878767  4.953746779    -1.333171828   -4.220997983   -1.947425577   4.185507553    -4.890157665   -0.8735822853  0.4460738649   -3.033052764   -1.434090811   -0.9963506233  -1.837775515   -4.810519626   3.277480999    1.399928078    -0.1455789541  2.68888203     -0.3105384701  -88827.86963   	-8.88279e+04	-8.88279e+04
9        NO_ID      -0.7220247238  -3.923395768   -3.532528837   1.136033858    1.866941973    -4.758013935   -2.268750954   1.421418213    -4.703456444   2.366881771    -0.9815329028  0.9961324907   -5.093549181   2.20699592     0.6690007823   -0.0289397449  3.838357375    -2.531617699   -2.046919206   0.9329361687   2.629542521    3.359798038    4.43898375     3.482290048    3.594735527    -4.99359779    -2.387074618   2.159017751    2.837288136    -2.344713596   -3.596722677   4.212879148    -4.302590717   -0.6230936731  -4.573168575   -5.014338548   2.235483271    1.071518983    5.039572666    -3.260290145   1.391151168    4.068975591    3.938259072    -4.764174278   -3.937433635   -3.925449814   0.5024411089   4.024743021    -1.840054787   -0.810772102   3.459218236    1.508868057    3.884241182    -1.514306387   -0.166395116   1.137598205    0.8948062306   -0.7020327157  -1.585672106   1.330190178    -189.598102    	-8.88279e+04	-8.88279e+04
10       NO_ID      -2.522982775   1.503643977    -1.966651052   1.436648857    1.621593553    0.05912204249  1.383577232    -3.790590785   -2.21872214    1.114670889    -3.763477111   0.1045681612   0.2331952633   -0.0682733083  -4.610339033   -3.541464642   -3.907163031   3.201255978    4.670549239    -1.12056848    -1.01627118    2.379661146    0.3317906603   2.449923922    -4.424707225   -3.323466111   1.941847112    -3.250725796   -0.2767294512  3.592689188    -0.5754671269  4.567509413    -4.470278389   -0.2408662114  3.186984491    -4.562245871   -0.7043643674  2.398022692    -0.5027826138  4.606672679    -2.187363651   2.379281718    2.119588146    2.411301461    0.08336326799  4.493794754    -1.764539472   -0.6831420556  -2.526943944   -2.773958776   -2.552575151   0.7574714752   3.502539947    2.909666538    -4.493675453   -0.3717240449  -1.725300112   5.082586559    4.767624857    -0.4878158817  -418.475667    	-8.88279e+04	-8.88279e+04
11       NO_ID      1.744461638    -1.326628062   1.29705558     -2.628779813   -2.966998866   -1.756973399   2.750207307    -0.5432265034  1.585570612    -4.42372285    -3.995559973   2.700857848    4.962632212    0.06584147146  1.970172584    -3.017479702   3.559857328    -1.984272964   0.6456011426   -0.9332209348  3.556477222    4.144586639    -1.737661145   1.353010835    -4.692273372   -0.4884789954  1.317927928    4.342478488    3.32815378     2.416253563    2.358575527    2.906924323    0.02603259706  2.307291806    1.212405512    -0.6140827011  4.505545832    1.635590215    2.667407785    2.246949513    -4.641145228   4.37055539     0.6023515329   -1.03041299    -1.04625636    -1.630842201   -3.489958379   1.990339916    -4.85450582    -4.062998275   3.837351804    2.535912436    -0.8149446382  2.382863037    -1.930608566   4.236614539    0.5375931925   -5.094273385   0.8034352445   1.516410647    -6272.974748   	-8.88279e+04	-8.88279e+04
12       NO_ID      3.929658959    -2.39901299    -3.903816411   -0.6671970167  -0.6983195084  -3.91187517    3.387174011    -0.9857753264  -0.3817683543  -4.191956645   3.401353357    -1.778872993   -0.0469144109  1.136624064    -4.065731352   -2.312722439   -5.07556927    2.78644471     -2.363592004   -4.274725636   4.432416185    0.06933431373  0.2569523122   -1.789563457   1.356675759    -4.04131829    4.040726241    -3.668570146   -4.778985829   -4.167282357   1.975042726    -1.457740256   -1.83830749    -2.521127901   4.538951385    -2.134228534   0.1170164253   4.464268918    1.159785839    2.950352454    4.890915655    -1.41523234    2.759050558    -2.868545124   3.258430596    2.868288514    0.9712051265   2.728305718    -1.281637746   -2.630074345   0.2416677846   -2.651248641   1.833602215    0.7133220302   3.420485736    1.657779389    -4.89358644    -2.487279453   -2.4144364     -2.040059885   -333088.7951   	-3.33089e+05	-3.33089e+05
13       NO_ID      -0.7127264909  -4.922428759   4.290364598    0.640696824    -3.763046557   3.065905395    2.423969906    -4.30917803    -4.913979256   -2.521009175   4.466652196    -3.475570158   2.135336389    3.18735411     -0.7660979285  2.273826172    -3.809532716   -3.465151341   -2.691994671   -3.766918964   4.04389882     -4.191378716   2.145071045    3.443603331    -1.818201777   4.19989256     -3.148988513   4.661783508    3.628775189    0.5302672984   -3.769937085   0.1197141727   -1.559049019   1.803389212    -2.868812144   3.250433084    -3.556335023   3.894277687    -1.610147585   -0.709459597   -1.343635363   -3.980160457   1.042219277    1.271190918    -2.706185628   4.720477344    1.521583448    5.033581337    -5.078429548   -1.207344229   1.971552515    2.96396624     -0.6067206685  4.298120454    1.959862193    -4.592187213   2.469280922    0.3694885493   -1.128588128   2.250355632    -5716.426106   	-3.33089e+05	-3.33089e+05
14       NO_ID      0.8610246509   -2.933107396   -3.412102615   0.9321262326   4.471069518    -3.415725207   4.5776005      0.8992670196   4.320706448    -3.510663642   -0.4531052398  1.569113731    0.4520024399   -2.939185242   -3.119693456   4.458984771    1.742165726    -0.9232572556  4.531450072    4.958139571    -4.920013418   -0.9865779957  -4.33736567    -0.001625032711 1.839527317    0.09679271295  -3.459370583   3.071064083    1.422609272    1.909021552    -2.827560386   0.7874675532   0.2942044487   4.16149878     2.628895869    -1.3492337     4.723935708    2.743322436    3.908055181    0.719062541    2.531277684    -2.677878419   -4.574968539   -3.397041981   -2.089879534   1.516331589    -3.31419356    4.131698282    1.91176044     -5.036472043   4.84413238     2.811294194    -3.205776198   2.791040367    3.316638421    -2.001957883   0.7421066097   4.933706312    -2.293138903   -2.056341242   -54991.42713   	-3.33089e+05	-3.33089e+05
15       NO_ID      1.416730287    0.9238137544   4.870691263    -0.5238581388  1.433397094    -1.32413753    0.006506227112 2.237728107    2.468704936    3.271999273    -3.091009358   0.3652158441   4.578250543    3.636458351    4.161192527    1.237536869    -3.589751035   0.2587649591   -4.534872441   4.354047981    1.807173023    -2.463666354   -1.877521827   -4.819427911   4.086049247    -4.151700118   2.039939951    -2.185572489   -3.142735986   -1.55477666    -4.494058793   2.277504679    4.067067186    -3.96807793    -1.349562414   -3.950654941   -2.093125181   3.722523819    -0.1840037092  0.2009742164   3.060156071    4.216132738    -4.688862322   -0.9873573134  -1.284354899   -3.381357296   3.078814802    4.616716883    -1.031985087   -3.607964682   -0.7490092088  -2.835054174   -0.2316301792  -3.713922381   -1.760991965   -2.545522912   0.9533821918   -3.518440234   2.589865472    -5.114593375   543421.0939    	-3.33089e+05	-3.33089e+05
16       NO_ID      -1.265263179   4.773778424    -5.003578796   2.757978027    -3.051236859   -4.619396856   -3.0388478     1.260491876    -4.595799563   -1.997755196   2.625523714    4.727322731    0.7601975343   -1.040625661   4.202325405    0.1701779257   -4.386314198   2.516387815    0.3564627099   4.638661032    3.980845882    -3.247368971   -0.9351329532  -1.207094921   4.55421353     2.992746778    -1.585927754   0.6361158439   -0.04729564536 -2.94798357    3.348492539    0.3246910439   4.6751084      0.6998542127   2.385268976    2.244813884    -2.67497381    -0.6820472255  3.805640386    1.776811416    1.191876308    -1.108251348   1.646486598    4.398471235    3.432132981    -2.443101082   0.5999128448   -0.1333234193  -2.368108274   -4.200072639   3.242654657    -1.912850782   -4.54363222    -4.408303895   -1.59275196    0.7725645149   4.357676084    -1.419208412   2.432248801    3.045766578    -498154.0038   	-4.98154e+05	-4.98154e+05
17       NO_ID      -0.320891976   2.714648948    -3.302656531   3.932977384    -0.7414286191  4.92111105     -1.764945015   2.815698718    -3.414886258   -4.065451316   -2.225161648   -2.151355616   4.450119436    0.2902616081   3.310655668    -3.870013619   -4.296065948   -2.862932331   4.775661644    -0.005319846416 -3.786442598   0.2707997646   3.665555546    -4.350733559   -0.7038835107  1.547858301    -4.67362182    -1.559469217   -3.364695127   -0.1621383443  -0.3051727788  -4.435626021   -4.624472356   1.718667042    -2.860778788   0.9008831118   3.208840788    -1.715767705   1.314945417    -5.089837632   3.800695993    -2.5561308     0.1727474709   0.8168200338   -4.73710864    -4.541151382   -4.297164552   3.580181906    -0.5749025242  1.937960835    -1.306013849   -1.767169801   1.977206908    -2.098739711   3.978437072    4.761202403    -2.148041931   2.599166384    4.088042907    4.009363696    11152.62653    	-4.98154e+05	-4.98154e+05
18       NO_ID      -2.29333689    2.302744334    -4.600598195   -1.953793295   1.112691117    -4.157266013   2.515134696    3.002749032    2.190887418    1.391384379    1.586315839    -2.142926685   4.008336108    -4.110203577   2.494209568    -3.439813815   -2.538969264   -0.15764456    2.487732217    -4.951982962   2.507779424    -4.654385824   -0.8517629997  -3.714262503   -4.19913452    -2.11341223    -0.1167427956  -2.147098934   4.195855821    -2.838670435   5.074602379    0.8408075697   -1.063090017   2.358616408    -4.494784137   3.71215976     3.987148418    -2.26983564    -0.8777685647  -0.104370393   4.127380218    2.785054666    -0.6000449858  -3.593709781   2.553419343    2.681888925    2.184377455    -2.906031135   -1.144639972   -1.114338784   -1.400041044   -2.083537368   2.595834291    -3.448427292   -5.103579371   -4.685970236   -1.260668545   -3.931278184   -0.993573175   1.644863717    -0.187043      	-4.98154e+05	-4.98154e+05
19       NO_ID      0.8031772794   4.115356237    -1.801356617   2.316713292    3.546740123    4.316312499    4.01865543     -3.226955048   2.689730795    -4.513729861   4.022903825    -0.740529951   -1.208661185   2.882189256    1.236442088    4.297358604    -3.556447682   1.850474031    3.746884237    2.361883573    4.176485833    -3.478111713   4.605401747    -3.04731554    -4.595998534   -1.24158315    1.555745818    -4.40839315    0.2049013763   3.936143559    0.1034221409   -0.3605296593  -1.689695429   -4.110470984   -3.783175488   4.405135635    -5.087289902   0.3172608983   1.942248949    1.140934895    -3.811116389   2.035930217    -2.4367478     -2.729804619   -1.950950708   1.392344343    1.26621835     0.6484804128   -4.053976954   -2.277444738   4.197772391    2.061150548    -1.359279598   0.1170988452   -0.4842335965  3.180561579    3.063967481    3.772109367    -4.229810504   -3.491537044   450.843129     	-4.98154e+05	-4.98154e+05
20       NO_ID      4.616516515    3.678966642    -4.198100317   0.4085879726   -4.622466985   2.96012413     -4.211920043   -2.88331689    0.6001995092   -3.933240691   -1.631974214   1.095519028    1.321748757    4.008240528    4.80197539     -1.10236873    3.273379294    1.70513151     2.157910562    -1.470444664   0.06356853981  -3.625412224   -2.053691071   4.545109909    5.016869047    -5.109853204   3.918962851    -3.823538058   -1.968124617   -1.940871101   -2.241108117   1.701898348    2.32622584     -4.908968034   2.114914644    -3.378372416   0.8888133947   2.806311767    -2.815327513   4.777063692    -3.565596281   -2.950532066   1.524344561    -2.284034795   -3.51526945    -2.877281701   -0.4814007889  2.204901345    -3.283377715   0.7044563633   3.952716901    -1.70713291    -4.337473903   -0.642150111   -2.60168999    1.471657391    -4.709226463   1.301174566    -2.059485342   2.295936142    -117.434669    	-4.98154e+05	-4.98154e+05
21       NO_ID      2.522891289    -4.190647667   1.99392953     -1.884491992   1.287908564    0.9045992337   -1.366263028   3.136126724    4.787955342    -2.426851198   1.519073542    -3.345403224   -4.380897721   4.924201852    2.162608194    -2.919797424   3.750726062    4.346705148    1.63615306     3.72206527     4.241464984    3.391706703    -0.7875649986  -4.648548401   0.2870503034   3.683072066    -2.744296431   2.498668205    -0.7748099181  -0.5476618841  3.456569057    -4.100968025   4.100579701    2.977064186    -2.219821385   -2.18674237    3.666478691    0.4898148998   3.543962318    5.099376865    4.047391212    4.769184241    2.253042469    2.697106506    2.722110201    5.06282991     -0.6995430909  -1.848995893   -0.6467656496  -4.410074563   0.359980514    4.429174598    3.995479979    0.7906969066   2.971331913    0.4518409119   1.707519471    3.367468546    -3.009420282   5.01872847     -17076.04623   	-4.98154e+05	-4.98154e+05
22       NO_ID      2.789482353    -3.102907842   0.9233118885   4.013591671    -2.504048043   -1.017002534   2.841947043    3.880639082    3.262789667    -1.923436248   -0.7500922148  -4.637394298   2.62636471     -1.548410689   -3.214199186   -4.589282597   -0.6451936025  0.8927685725   -0.2879088     1.992769042    -2.302481995   3.129929118    4.004679921    -5.071456643   4.308893358    -4.738812452   0.4263297703   -1.64888104    1.742902896    -0.621175293   -1.135796928   -2.655102019   2.500117168    0.2957850879   -3.995693436   0.2175272844   -4.922654371   0.5897402716   -3.364311001   -1.532390032   -5.058650146   0.3221714205   0.7439308104   -1.456192688   1.420321608    4.372182027    -1.984377424   -3.755057294   1.581191478    -0.4875620086  -0.2033673946  -4.120032817   0.2945323035   3.437416663    1.94386657     -0.9261491783  5.065289933    2.691081546    0.5983333013   0.8443079762   -51984.44573   	-4.98154e+05	-4.98154e+05
23       NO_ID      1.649479003    -1.527810126   4.547542158    -0.470506131   2.666792809    4.913196804    0.552739619    0.6533775246   -2.059299242   4.915082815    3.875300269    1.315360909    -4.844854935   -3.078673508   -2.323441702   3.933433392    -1.009937475   0.9658073993   3.570818963    -2.074273452   -0.5111990847  -2.050908823   -1.480008986   -3.314772075   4.105654319    -1.653738753   3.41897388     -1.260584322   -3.01147021    3.008300011    4.678818679    -4.637873792   -2.439486171   5.052395489    2.671516682    -3.605436273   -3.170992144   3.195016942    3.741709409    1.479433334    -4.180147963   3.955672035    -3.93384805    3.487093951    -0.7100931886  -4.171233826   2.890890114    0.01183052032  -4.791962461   2.596454361    2.205578411    -2.023474796   3.135535823    -1.652834319   -3.342267      -0.2765116029  3.946863656    -0.9412874367  2.050332759    3.910078186    -35948.00185   	-4.98154e+05	-4.98154e+05
24       NO_ID      4.767205465    3.292029629    5.108837145    4.500217562    -4.154901273   2.349050014    2.589533974    -2.201338417   -2.035616639   4.43397655     0.4549181089   3.99589471     -1.510628588   -1.371383416   3.663471245    4.128925897    4.602372034    2.432703362    1.710303674    2.136416054    0.9470143531   -1.155459914   4.314416072    -0.8651678658  1.970578669    3.858193428    -1.376910818   1.617742548    2.457918395    -4.37837769    0.03247527816  3.588550227    -0.07947904575 2.208223424    -4.395228062   3.110250889    1.551103197    -3.870618001   -0.5925541369  1.394662273    4.535060866    -2.266069004   -2.21039879    -5.062438875   1.627493111    1.144179242    -0.1845037362  -1.016425903   3.263921239    -3.210921407   -0.5353323168  2.044827617    0.1077795731   4.677725859    -1.065423327   5.09979905     -4.604985393   -3.031456991   -2.717860337   -4.178654647   -11216.44925   	-4.98154e+05	-4.98154e+05
25       NO_ID      -1.986833004   -4.077317591   -3.036420983   0.6025259404   1.987895403    -0.4164052348  3.026436123    1.467024566    2.93292492     -0.3181695189  -1.216391802   1.743861785    -3.243702395   -1.641261751   1.736296184    2.874630148    1.632357354    4.131020207    -2.175907212   4.146146065    0.205783771    4.315889028    -0.2981943631  -1.550774192   -4.043603118   1.339011666    2.567687623    -3.048859745   -4.162930682   -4.206976938   0.2605326881   1.579043768    -0.9238338189  -4.407678541   0.601095485    5.083031546    3.069602802    -2.36153459    -1.05320183    -3.600406385   3.391683373    2.060211966    2.013354869    -2.096722139   0.2254500374   -5.08755482    -0.2375963377  -3.790696803   -3.531448086   2.006525823    2.584940842    -2.754477619   3.01183733     2.691882333    -0.3708955042  -1.767831854   -0.5447614296  4.632117349    -0.09150634708 2.755117957    -390.226502    	-4.98154e+05	-4.98154e+05
26       NO_ID      0.2663160553   -0.5017210443  0.8865264268   2.026439937    -4.355804185   2.822807556    0.1697870556   -3.428685132   -4.754958632   3.031867916    -1.251907637   -0.849119105   2.869560157    1.726543551    -4.322113988   1.798148334    -1.516133014   -0.8484967878  -0.05760518615 4.732430802    4.561855168    -2.438951155   1.195494335    -3.953336805   -5.013510667   -4.301904787   -1.731034381   -2.899548008   1.951973333    -2.608945878   0.8192894923   -4.742602605   -0.5667836083  1.915368213    -0.4111784302  -2.720820401   5.054922603    -2.233355559   -3.790626816   -2.81593305    -2.09724716    0.09894708712  -2.740279682   -1.224669997   -1.845889599   -0.6775672089  -2.04823808    -4.99653582    3.039667659    -0.1164334393  2.869154803    1.158086665    -0.8418702273  1.837942412    0.03460548122  -3.349623418   2.146899727    -4.176059226   -2.792744107   -0.9994682785  -51.809037     	-4.98154e+05	-4.98154e+05
27       NO_ID      3.40203853     -0.005739451075 -3.12441128    -2.532939724   5.026885075    -4.466263279   -0.8118100562  -4.964304724   -0.5015792112  -3.003937693   0.701501897    -2.556869451   4.108483952    -2.504070268   -2.59828257    1.546207343    -1.596713655   1.086139073    -5.066886173   -4.042202378   -1.159297211   -2.154997686   0.8014522603   -4.116479799   -3.360074198   -4.516405673   -4.138619373   -0.8370483103  0.8741259976   2.583197679    -0.02036878178 2.685666       3.074804869    -0.3661501611  -3.403609547   1.541278115    -0.2240033031  -4.092327729   3.662527988    2.848392174    0.9913551719   2.159161466    0.03095231175  -4.016785062   3.375632395    -3.001373919   2.849349143    2.099084382    0.20674961     0.2831191969   -3.754019955   -0.5965593419  4.455313223    1.236051948    3.256406699    1.116056805    1.629379563    0.2876886694   1.823139636    -4.414153979   1096992.782    	-4.98154e+05	-4.98154e+05
