%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -1.608081415   -2.168339383   3.456834793    2.718589563    -2.980478704   -0.1735118306  4.400687024    -2.887193497   -3.668204177   2.337772381    -0.4910064515  -0.2033004751  3.69191075     3.731250586    -2.457243205   4.438814921    -4.682666104   -3.966847135   4.762632814    0.9982129092   1.262594739    -2.376201775   3.921585957    0.2946928507   -2.113855197   3.837951307    3.245162383    -2.483724988   -2.57500097    -2.902942417   -0.5925416227  -4.088348355   2.544535325    -3.548481021   -2.178661825   4.892366726    -1.783582473   -3.335477836   -4.195364565   -4.69039279    1.726516289    -3.003100014   -4.946369341   -2.056632188   -0.3723723823  2.932623085    3.435466753    1.824754785    -3.633894101   -3.625349821   3.350896443    -3.85379632    -2.420455543   1.24792231     4.305100066    1.45642674     -4.910656029   4.841644717    2.86233088     2.463750628    131726.2429    
2        NO_ID      1.505263986    -1.110320014   4.011053911    1.15486248     -2.030775485   3.100567314    4.7878912      -2.053616511   -0.8300012269  -1.049386635   4.134594176    -4.393854102   4.79317415     -2.393700285   -0.5526093013  0.02686771374  2.009862175    -3.631937057   -2.096005276   -4.084421412   4.962969156    3.875612786    -0.9813731278  4.015077054    -2.199730978   -4.628109784   2.479110115    3.499453757    4.853093677    0.5738833839   1.359348822    3.588283467    4.213666458    0.7257583258   0.01171255498  0.4034535724   -0.3220371996  1.848257323    4.678209969    -0.3411330563  -1.204133732   2.676994412    -3.686714338   0.194995089    -1.762192709   3.681597821    4.393571138    -3.279763871   -3.074800976   2.602195607    2.90760528     2.507385965    3.392307644    4.901559307    -1.514825878   -1.070091085   -3.09443813    -1.929671316   0.4472734246   3.553899504    -40481.5177    	-4.04815e+04	-4.04815e+04
3        NO_ID      1.803891183    -3.282631318   -2.944914363   -3.444253678   -2.680825529   -4.118720779   -0.09396760695 0.9759140106   -5.080359552   -0.7143852779  4.495762553    0.5641613128   -0.2117446243  -4.920839664   -2.653128851   -4.564141897   0.8990119934   2.453794003    -0.9861522385  2.509622291    0.8337989663   -3.840979337   2.556530535    -1.657118038   1.993906862    4.881052424    4.035504341    4.23360616     -0.5005498435  1.924710302    -4.474622506   2.057030002    1.135054252    4.236223764    4.381270308    -1.576363827   1.394002013    -0.6543287659  3.385037357    -3.182419837   -0.7124029993  -4.834733875   -2.776154128   -1.346987806   -0.1521308077  1.260715026    0.3677313955   -0.122696296   1.59391627     4.879725257    -1.720077877   -0.1683252002  1.115186194    3.12011688     3.183748035    -3.890420322   -4.109899102   -1.789207749   3.578769712    -3.187141033   6768.17292     	-4.04815e+04	-4.04815e+04
4        NO_ID      -2.276928246   4.507688077    -0.3098266135  0.1946640493   5.001373976    -1.66133378    3.353488908    -3.225157385   2.926352231    0.1941774383   0.8555088791   -1.724283798   0.6956746495   -4.329953973   -1.615698255   5.024528433    1.905389033    -2.889151316   2.307519114    -1.76099908    -0.6006939653  -2.22391826    -1.324259577   -0.8796655945  3.416823576    2.216392745    -4.077928409   1.432298895    -0.3417465963  -2.458466748   -0.02404410775 2.945755794    -2.986248103   -2.870955967   -0.3942629881  -1.750202032   1.046974031    -0.01260205383 0.5555100964   -3.391754563   -2.072074991   4.906597725    1.218345867    -3.249127898   -3.500160451   -4.537984254   -3.483017169   0.2106383361   -2.024872631   -4.67655833    4.288105184    4.344085432    3.246794809    -0.5926842284  4.406747981    2.927124692    -0.3026932773  -0.6192574682  5.024655952    -1.246954      595.25167      	-4.04815e+04	-4.04815e+04
5        NO_ID      1.175285936    4.455497064    -4.940193124   3.927530031    -4.78220025    -4.606405722   5.089602513    1.628791631    1.368247175    2.743187957    -3.32185149    3.282610447    -5.095730131   -3.806271502   -3.504591004   0.1911139113   1.283556883    -0.3380286999  -2.69094951    -4.439346915   0.4723375283   -2.686938202   5.025327127    -0.3313454593  -1.898728277   -0.48327391    1.584587828    -1.461862288   2.689683823    -3.813848934   -2.224446217   -0.3360984365  2.768988047    -4.660631998   -4.872782692   -2.747062413   4.18361446     0.558577147    0.3571819849   -3.506577565   -0.8036124252  -4.263074666   2.424288624    1.733559512    1.318124226    -3.420610515   -0.2179159065  0.8244560039   -0.4483100029  2.473555113    2.415222792    -4.488921242   0.3930248023   5.020255305    -4.037129762   -1.288662386   -2.003691108   4.394164988    -1.858565094   2.912140809    -1572.075408   	-4.04815e+04	-4.04815e+04
6        NO_ID      1.401335358    3.186432803    -0.5358252669  -3.492895987   -1.863646899   1.987071396    -1.891952516   4.383151222    1.174461427    -2.371594155   1.456529676    4.344133431    4.301258079    4.991635697    -1.377484802   3.648892596    -2.92399291    -0.4583460354  3.592350162    1.891669749    0.04765132577  1.025173161    4.024241352    0.6992136548   4.969991362    3.437257909    2.645660992    -0.2197843014  -1.1765899     -3.098234351   0.2319184983   -1.270159464   -4.050720044   -1.027890441   3.526767603    2.759595517    -3.82777815    -1.280763271   2.713300733    0.526911538    -1.054336454   1.12704881     -0.9879309798  -0.1257145138  -2.646061207   0.008759331489 -3.860459576   3.102046402    2.040429156    4.684819549    -3.75721871    -1.201576392   4.904125807    2.390802591    3.290727493    -2.669273654   0.9544821139   3.160797966    -3.498103861   -4.654817609   -28536.18643   	-4.04815e+04	-4.04815e+04
7        NO_ID      -1.169424608   3.416031731    0.3421874215   -1.152145837   -1.210216324   4.314409554    -3.778720044   -3.969418605   -2.841321853   -1.902204221   -2.968525429   -2.499188074   3.984387137    -3.517106428   -4.871751086   -2.235089031   1.541067271    3.235083406    -0.1516226325  0.2120864882   -3.879831204   -0.9352603108  2.104864589    3.376051721    4.406652464    -2.224225437   1.158915776    -2.226233374   -2.398335914   1.636376078    -4.86076167    4.354516789    -0.08990800912 0.8783235727   2.001558901    2.54148606     1.44828361     -2.845972023   3.17837741     2.627532341    4.752251249    0.9656284203   -2.653096969   2.839743021    -1.889530094   3.960864931    4.814569193    0.5665810966   1.10296869     -1.429802474   0.2584195339   -3.711450444   -2.560869679   -4.489201697   3.826118542    4.873584952    3.061015409    -2.170487157   -1.470014388   -0.6644298569  -49688.58134   	-4.96886e+04	-4.96886e+04
8        NO_ID      -5.097267899   3.288177741    -1.523474637   -3.749425728   3.352857676    -4.235907433   0.7055256557   2.233178423    -1.08791914    0.4749994698   2.237713269    1.611589021    -3.282626968   4.689345481    -1.306607513   -3.118430819   -3.953252233   -1.74318496    -3.41079298    -4.931999942   0.612191536    2.065565383    1.04369429     2.486476595    4.152893416    -1.458945748   -3.610945973   2.951717311    2.58263181     2.019523897    2.869283182    -1.539003507   -3.16236377    -1.666770085   2.903174205    -2.409197239   4.833834536    1.6328286      4.304615211    1.090537749    -4.940340021   -2.868175208   -0.07718324878 2.257860209    -3.450498886   4.31812352     0.988958546    5.001495435    -1.574230206   -2.158807893   -1.46682854    -2.646500164   1.818556308    -3.194615059   -0.4865514474  3.696580952    -0.3339779094  3.951978906    -0.07596586721 3.627675723    34.254814      	-4.96886e+04	-4.96886e+04
9        NO_ID      4.971157145    4.957325683    -1.980329535   -2.333923417   -4.36156624    3.486488409    -1.836153199   1.036724515    -1.208079067   -0.05147913926 3.116233959    -4.889458352   -3.453156575   -0.7302016871  0.45621715     -4.912443982   1.705130794    -4.515088026   4.922130095    -1.497283513   -0.8324457716  -3.000593709   -3.522214463   -1.966461967   4.724612302    -0.0113132026  0.01473174424  -0.4302147927  4.803015801    -3.374084346   0.5803345881   2.847502992    2.067707894    -4.160945749   3.613656164    3.162422565    -3.301414392   -1.184028162   2.575431166    -0.6761552816  -4.242249808   -3.659207327   3.221645085    2.217358997    2.00432502     -1.883638879   -1.243328706   -2.492022514   -0.7468629477  2.956843002    -3.456577902   -2.783719425   -2.987447654   -4.200525345   0.2487578844   -1.358648429   4.93801963     1.717221446    3.87921128     -1.701625079   -174422.1541   	-1.74422e+05	-1.74422e+05
10       NO_ID      2.003270401    3.943909168    0.168440371    -4.071233633   0.8608848854   1.672264131    2.611884012    3.409005944    4.707728806    2.80884577     0.2209493961   0.1291492018   4.403848052    2.393041908    1.964097063    1.325752116    2.269656535    0.2554186978   2.400678287    0.038010321    1.365116668    0.5699972293   -0.7758674165  -2.438145463   -3.015172953   -1.137921573   2.965730523    4.572725389    0.491500587    2.149178907    -2.551362294   4.800044966    1.109977658    0.6984592556   -3.260596028   2.114188027    -1.472648749   -2.868539573   -4.070198004   -0.5202431896  1.748057339    -1.625769831   -3.423243761   3.081374622    -5.081047466   -4.834630235   5.038832189    1.926009896    -3.78090394    0.3126330364   2.460562672    2.163648575    -4.291242225   1.722470135    -3.36580089    -2.499388926   0.7244556872   0.2744784165   -2.294695284   -1.224986419   -1400.165688   	-1.74422e+05	-1.74422e+05
11       NO_ID      0.1937828884   -1.309186128   1.516868662    1.789862152    0.5345714439   -1.311908231   -0.6294761458  -4.148566055   -4.304913199   -3.476330708   -0.7290158077  0.4868991599   -4.270296563   1.072712311    3.202207668    1.677701867    4.21481969     3.298714418    3.539235287    -1.578764702   0.2698056926   -2.57607733    -4.808320053   -1.399417301   -1.618683231   2.994604374    -3.766398337   0.8624992791   4.092628805    2.287078906    1.611518273    3.30033246     1.719813545    1.883865701    -3.139835388   -1.348123182   1.166837131    -1.089720331   -3.925579271   1.756960949    1.205061403    4.602394668    4.649117948    -0.2897315587  -4.159732174   2.504449884    4.225849807    3.205163602    -1.127705051   3.937355782    -3.143618527   -1.23645351    0.7692999481   2.905961454    -1.369256296   2.85681331     1.735133927    4.275617747    -0.8622428611  0.3743232474   -25119.302     	-1.74422e+05	-1.74422e+05
