%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      3.792172959    -2.79941297    -2.815937934   2.284641801    -4.390713971   -4.654650988   2.903844033    -4.508947287   -0.997394369   0.4702283682   -1.837298802   3.442824609    -3.588921859   -4.059241157   -0.7407016324  -3.634278887   -4.749749026   -4.599600097   3.471575527    -3.807736238   2.441492006    4.48012787     4.592843022    -2.114710282   -0.633966675   -0.7492973599  0.8383135042   4.352737433    0.1325705675   -3.470151811   0.719805567    3.970556492    1.200679532    3.950859043    3.978616528    3.237034908    2.851763559    -4.939902385   -4.848794802   0.1038305593   3.425164561    -3.817740333   -1.61884945    2.300894766    -0.4003334853  -0.9812458559  3.843851489    -4.857923766   2.992634568    3.263866095    0.001624851203 4.103003092    -0.353119001   1.285982266    4.850126104    1.302834511    -1.965126553   -1.709772903   2.626561728    1.674012159    -3936.369629   
2        NO_ID      4.402032284    -4.245898823   -0.9698004526  -0.7299944098  3.683315591    0.330323656    -0.4786462845  -2.681524002   -2.288527823   -3.186603239   2.944031388    4.618917961    4.725238907    4.217692153    -4.922972017   0.106066625    0.1672974037   1.930168941    0.3993276993   -0.8365433996  -1.733852562   3.345890573    5.108746657    -0.01019311702 -0.2165274018  -0.05676097658 -0.4453631412  0.0001710287094 -3.274143384   1.286336048    0.3395676428   -4.891456338   2.480542537    3.516808562    0.3215419584   4.65949187     5.103617229    -0.06187835186 1.433930779    -4.48576644    1.804868322    -2.406475892   3.795825214    0.7467511482   4.012955753    -3.952468823   -0.7848967377  4.714719371    -0.2031483762  -3.224535813   -4.184878184   -2.154547588   4.544722513    3.610491755    2.440655698    0.995122904    4.765688689    -0.1280070751  -1.750260862   4.197896077    -478.508793    	-4.78509e+02	-4.78509e+02
3        NO_ID      -2.189344553   3.764572632    -4.012767485   0.2780619847   3.927778473    5.03276217     5.108237206    -0.001884584165 -1.638304994   -2.59641361    -2.899640462   -3.148202676   -3.424468685   -3.003007458   -0.002538098407 -0.2655778391  0.932020571    -4.799082363   2.292207978    -1.553640453   -4.964099209   4.794722494    0.1622501338   4.836515418    -4.642729803   0.9740035013   -0.3090808048  -4.46498914    -3.56911834    3.278887778    3.209730962    -0.03523656924 0.455838807    1.437052362    -0.9624528235  -0.7192886942  1.614894229    -1.552336784   -4.605382543   -1.434073282   -0.0679461977  4.202535417    0.4617072759   -2.442342118   -4.205096295   2.804381676    1.149722771    -4.128250217   -2.28542375    -3.730560096   -3.947620847   -0.5813899173  1.538501768    -0.6003377564  1.259197462    -2.144404793   -2.494990369   3.175459048    -4.360337298   -0.4581825563  -501592.0246   	-5.01592e+05	-5.01592e+05
4        NO_ID      4.83131517     2.791969487    -0.5290445817  2.225591053    -4.071823865   1.99431503     2.051600177    -1.069079861   1.97916256     4.162971528    1.279936361    2.95861135     2.249041322    -3.752934279   3.09799454     -2.607552413   2.231483921    3.378851424    4.598132967    2.905869788    4.191042137    1.847964663    2.828057157    -5.106607674   4.857503986    1.441907214    -0.1319869698  -4.818209374   -3.389983712   -2.993072573   4.814849096    2.913162899    0.3155469754   -3.188197362   -3.876619102   0.3084132357   -1.736484427   -2.422964113   -0.07196233323 2.385707715    3.75887375     -0.8655863857  -3.632565121   0.600856395    -3.901311179   0.8291391724   -1.946641758   -2.446358282   -2.060942566   -4.355803737   -1.602163553   -3.6856947     4.309057774    -4.108808506   3.785930808    -1.339948139   -0.2743028934  4.357109551    4.302005903    -3.130156121   1611.41517     	-5.01592e+05	-5.01592e+05
5        NO_ID      -4.621394479   -1.174558175   -2.748132004   -4.875069895   -2.460083061   4.706752589    -4.884591481   3.916445525    -0.1382630102  -2.06760115    0.1905024916   3.309934852    -2.836912065   -3.424172861   -2.77677847    -3.516664378   0.6548023363   -0.9305813117  0.148499985    2.549583676    0.3781570365   0.3170644191   1.226934968    -4.162716057   -0.8933953651  1.357964572    -4.22388041    2.285227349    2.210274235    -1.630746401   -2.413811747   -2.023620464   2.130246315    2.75938739     -4.619777211   2.708039733    -0.5210328729  4.60129469     3.774266855    4.949750462    1.228152102    -0.4376576738  -0.8424762386  -0.8879504272  4.839731433    -4.572470152   3.628491081    -2.677751671   1.949047067    -4.968878495   -4.23802249    2.728678528    -3.040554175   -2.281502659   3.450274904    -3.591738037   -3.268514374   -3.212709423   -0.3550856317  -3.783525976   -6791.663822   	-5.01592e+05	-5.01592e+05
6        NO_ID      -1.017261221   4.219922086    0.3432873845   0.5147678987   2.443580288    1.600450219    0.9576816614   -2.588299888   3.655815943    1.873520432    3.078043974    2.698754378    0.7881400512   -4.335183964   0.485947926    4.462624051    -1.425146671   4.386626801    3.250281834    -4.506715782   4.828402864    0.9216527392   -3.509189591   1.460972931    -4.276253388   -1.674649342   2.89216596     1.796019937    -4.623226706   -1.409563776   -0.9660396094  0.5458089319   -3.624177465   -2.595053746   3.621546642    -1.114262015   3.555372873    -0.9085389498  -0.4274128728  -1.616370895   1.270791193    2.362238919    1.127517731    -1.943532238   1.001939683    1.417637156    4.923494756    4.8341633      3.944791018    -4.663091867   -4.095958204   -3.560669138   -3.779845645   0.9370096759   -2.689221628   3.746751603    -4.549648747   -2.371221765   2.89786403     1.158811888    -12505.61      	-5.01592e+05	-5.01592e+05
7        NO_ID      -1.538677223   -0.2564533196  -0.6514827394  0.204184658    -1.080717928   2.067958725    -1.856883833   4.921079362    3.092527866    4.664205801    2.179614583    -3.226578309   -0.006551612473 -3.85965841    1.501084667    0.7233445735   -4.113761167   2.575791181    2.641989841    -0.9450762948  -4.413897448   -2.018973306   4.014647464    -2.794216073   -3.273965186   4.22279364     1.208969086    0.2272450675   -3.335860262   -3.282714692   -2.757356731   0.4818838462   3.54620097     0.5821012294   -3.128106563   -2.054811021   3.427401686    -0.5828859393  -1.004199261   -1.655111458   3.80103972     -3.249338667   -3.153882185   -1.663132043   -3.326367839   -4.01234018    0.1393935831   -2.505602412   -2.759072921   -2.660363859   2.549384914    -1.081799398   -0.7281255421  0.1372133168   -1.082807856   -0.0947642168  -0.9905577959  0.255964115    -2.901781912   4.920562259    1281513.058    	-5.01592e+05	-5.01592e+05
8        NO_ID      3.393332409    -1.11439359    2.072642586    1.16598886     3.462997923    3.758464287    -2.957324459   -2.53109457    2.570592738    -0.01794257388 -4.148907613   -0.5300019863  -0.642044819   0.08303686318  4.463651379    1.624279909    -0.5089417381  -1.984576846   0.922630393    0.3271427711   0.03469830689  1.640212503    -1.90871681    4.338770798    4.338219123    -0.3188440346  3.071467872    2.894642162    2.076241753    -0.06706158206 5.06733322     0.8637601721   3.605409386    -3.127907431   3.442970643    2.342491974    -4.411142099   0.9187272508   3.66295422     0.03568858638  3.210495417    -4.03112299    -2.356995087   4.169596933    4.613727444    4.570559915    -1.212167586   -1.040062389   -3.051251405   -1.148385731   -0.3558831705  3.053482205    -3.23919635    2.448503701    -2.164600772   0.6941485685   -3.988779002   -1.822051666   3.353835653    0.9052711234   122.505106     	-5.01592e+05	-5.01592e+05
9        NO_ID      3.338613194    4.314970594    1.523496251    3.783886243    -1.726434615   -0.1754439528  4.30637283     1.288462103    -1.395777985   -0.6235977394  -3.469729822   1.513189113    -3.82069076    -2.593362082   4.086114715    -1.93945907    1.910078163    -0.07861387084 0.04375113599  -0.702164854   -2.807558892   -2.209343118   3.512180828    -1.741274096   -1.797552549   3.756169306    -2.634307268   0.6153928315   -2.694569456   5.098601239    0.2818956437   -3.677029087   -4.313367618   1.296878695    -3.402026839   0.4507301342   0.6425363725   4.395674436    -3.824050559   2.077366314    -4.073560271   -0.1367100444  -2.946683647   -0.9895594268  4.324748392    -5.11495732    3.06544899     0.278334772    -2.834594193   4.724126828    3.998062645    1.975865543    4.285166018    -1.475564993   -4.883713489   -1.242986899   3.127025898    -2.301324865   -3.236297704   1.350827642    2282322.992    	-5.01592e+05	-5.01592e+05
10       NO_ID      1.264812518    2.40923471     2.475537078    4.20187803     -1.414231062   1.814257279    1.123551141    2.716559752    -2.411456539   -4.40893216    -2.969943003   -3.720911127   3.495810217    3.653920899    -3.332738728   2.425157578    -3.750627053   -3.332234016   2.665273483    -1.073469238   2.319159855    -4.959308469   -1.237741282   -2.976816758   -3.559618724   1.704149081    0.9315874142   0.9433382287   2.898198774    -4.070193701   4.626896219    -1.258463292   4.929243525    -4.861049328   -1.362750311   3.60698169     3.283617804    -3.001797102   -3.897661089   3.539972469    -5.027681241   0.7502773072   3.386690402    4.402105914    4.114403987    2.022301502    3.966169518    -4.286992398   -4.616318921   -0.5879185104  -0.07908456733 -3.434968757   -3.317115378   -3.253417878   4.583791298    -4.188370422   -1.505482677   1.1800513      1.829119527    -2.962870381   -19502.6739    	-5.01592e+05	-5.01592e+05
11       NO_ID      4.960913706    2.214376701    -2.930056386   -3.101006508   2.257626844    -1.502468603   -1.473860597   0.3960295079   -1.321927645   4.484620564    -5.083323533   0.7162038403   -0.3196674343  -3.948509668   -3.666081207   -0.7609715789  -2.348686139   -0.4977835247  -0.7942869542  -3.547978369   2.528953358    -5.074819867   2.993533241    0.8495523877   -5.037757958   3.853094868    -2.666261008   -3.719691773   -1.036486355   0.5292742743   -3.163848812   -1.60550415    -1.77380302    1.864820595    0.1724891143   -2.315110181   0.08801930544  4.182757449    -3.444474573   0.7754934405   0.6345876759   -4.252118729   1.354868847    1.800830833    -2.084032431   3.83923772     0.2551066413   -1.692316501   2.113552904    -1.397184182   -1.782036481   -3.779279193   3.963448333    0.07471401093  -3.456651257   -4.351874621   -0.06374040861 -0.9988740676  -1.511872249   -1.874147645   5638275.849    	-5.01592e+05	-5.01592e+05
