FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	484433.0	7402.99	-198.567	-4141.02	-40481.5	-1128.13	-63133.6	-478.509	-192118.0	-258690.0	-6853.333600000001
2	238.729	-1421820.0	-48740.7	-4141.02	-40481.5	-11821.0	-63133.6	-501592.0	-192118.0	-258690.0	-254229.9091
3	-75650.5	-1421820.0	-48740.7	-4141.02	-40481.5	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-575876.832
4	-75650.5	-1421820.0	-48740.7	-12499.8	-40481.5	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-576712.71
5	-75650.5	-1421820.0	-48740.7	-12499.8	-40481.5	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-576712.71
6	-75650.5	-1421820.0	-48740.7	-12499.8	-49688.6	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-577633.42
7	-75650.5	-1421820.0	-48740.7	-88827.9	-49688.6	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-585266.23
8	-75650.5	-1421820.0	-163047.0	-88827.9	-174422.0	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-609170.2
9	-7957800.0	-1421820.0	-163047.0	-88827.9	-174422.0	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-1397385.15
10	-7957800.0	-1421820.0	-163047.0	-88827.9	-174422.0	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-1397385.15
11	-7957800.0	-1421820.0	-163047.0	-333089.0	-174422.0	-11821.0	-63133.6	-501592.0	-192118.0	-3399270.0	-1421811.26
12	-7957800.0	-1421820.0	-163047.0	-333089.0	-174422.0	-11821.0	-410951.0	-501592.0	-192118.0	-3399270.0	-1456593.0
13	-7957800.0	-1421820.0	-163047.0	-333089.0	-174422.0	-11821.0	-410951.0	-501592.0	-192118.0	-3399270.0	-1456593.0
14	-7957800.0	-1421820.0	-163047.0	-333089.0	-174422.0	-11821.0	-410951.0	-501592.0	-192118.0	-3399270.0	-1456593.0
15	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-11821.0	-410951.0	-501592.0	-192118.0	-3399270.0	-1473099.5
16	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-21810.3	-410951.0	-501592.0	-192118.0	-3399270.0	-1474098.4300000002
17	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-21810.3	-410951.0	-501592.0	-192118.0	-3399270.0	-1474098.4300000002
18	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-21810.3	-410951.0	-501592.0	-192118.0	-3399270.0	-1474098.4300000002
19	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-21810.3	-410951.0	-501592.0	-479204.0	-3399270.0	-1502807.03
20	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-108241.0	-410951.0	-501592.0	-479204.0	-3399270.0	-1511450.1
21	-7957800.0	-1421820.0	-163047.0	-498154.0	-174422.0	-108241.0	-410951.0	-501592.0	-479204.0	-3399270.0	-1511450.1
22	-7957800.0	-1421820.0	-1557100.0	-498154.0	-174422.0	-108241.0	-410951.0	-501592.0	-479204.0	-3399270.0	-1650855.4
23	-7957800.0	-1421820.0	-1557100.0	-498154.0	-174422.0	-108241.0	-410951.0	-501592.0	-479204.0	-3399270.0	-1650855.4
