Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	2.76943	16.66489	1.35616	0.25596	3.41389	1.26233	nan	387.37000	475.96000	4130.69000	223.57000
2	2.92231	16.96030	1.23587	0.27989	3.26741	1.24874	nan	387.37000	473.66000	4713.48000	220.34000
3	2.35638	49.76992	1.22658	0.25376	3.53986	1.21118	nan	424.83000	472.67000	12974.39000	223.28000
4	2.31672	17.58608	1.30885	0.25844	3.47942	1.18715	nan	506.02000	475.45000	4527.31000	307.82000
5	2.31995	50.90723	1.27372	0.24698	3.38613	1.27237	nan	506.87000	1383.12000	5478.11000	310.71000
6	2.35876	18.59197	1.33870	0.26306	3.40306	1.21738	nan	505.86000	258.25000	5644.10000	313.31000
7	2.25028	17.84892	1.33559	0.24950	3.33635	1.20768	nan	507.52000	273.86000	4029.93000	317.80000
8	2.60709	52.66470	1.25498	0.27592	3.36189	1.18077	nan	505.36000	268.18000	6162.68000	316.03000
9	2.30736	52.63826	1.22393	0.28755	3.33779	1.17903	nan	504.10000	264.67000	21504.32000	313.73000
10	2.28464	53.11474	1.29980	0.26111	3.36083	1.20516	nan	506.51000	257.79000	5315.85000	315.07000
total (hr)	0.00680	0.09632	0.00357	0.00073	0.00941	0.00338	0.00000	1.31717	1.27878	20.68913	0.79491
