%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.107187109   0.6511136204   -3.140564592   3.161502731    0.8704953154   -0.2061000397  -1.533015534   4.054654988    3.305882138    2.525233314    -3.337133091   3.67558092     2.155534532    0.1385979797   -2.007092502   -4.966557817   -4.184033937   -1.388011109   -3.611516465   -3.421198157   5.002496414    -0.5561107212  -3.900587786   -5.072186041   -5.028747215   -1.250506912   0.3242286447   0.7289284951   1.042063051    1.097377239    -3.417760552   1.669582202    -0.5039216285  -1.514264962   -4.535919675   1.102689901    2.901182287    3.098688314    0.2035999634   -2.028030641   3.849961241    2.321164586    4.668423719    4.359351787    0.402981048    -3.662455519   -0.3882930998  -2.71023896    3.70933195     -2.9736845     2.863681143    3.519013642    5.087186499    5.116874905    1.141753594    -1.101439863   -2.393979308   -2.0758446     3.483075045    -4.87686758    22778.87045    
2        NO_ID      -5.106874599   3.72933256     1.769272744    -1.25863216    -0.9361223182  2.833992737    -4.13434492    4.400915555    -1.422074648   3.555264748    3.292444227    2.889931944    -3.014310739   1.526140324    2.935245827    1.473326212    2.478356883    -0.0198443556  -1.040813013   2.382416456    0.02671956542  2.447730949    -2.081782281   1.080814234    3.944964141    -0.2876650288  3.086500443    4.551232643    -0.8095559557  3.827148045    0.7292410047   2.081157262    4.685299234    2.79086642     0.07578356273  0.2292257454   -4.703112278   1.323946654    -0.6914273507  3.252755516    -2.31866451    0.8658076724   0.7758049257   -0.5282973724  4.462792444    2.309914243    -1.057376019   -1.303633534   1.473951231    -2.760240486   2.841492965    -3.126501663   -1.700208136   0.4667329936   -3.935901364   -5.007184057   -1.562078921   -2.53492111    -1.546765954   -0.3873555712  192261.1217    	1.92261e+05	1.92261e+05
3        NO_ID      -4.590296335   -3.201503952   5.026559648    -0.7454915006  1.468638569    2.267412946    4.103718986    3.511825922    4.253098544    -0.1742240669  -0.2067250587  2.329602344    2.638986785    -1.188317515   2.504920194    -2.314289377   -1.403949095   -4.800302744   3.299944456    2.640861843    -0.668926664   -2.823367412   -4.275599231   -2.398979461   1.287070528    2.736802271    -1.780210578   -2.511795404   -0.153910947   2.579297464    0.6342381054   -1.557391278   2.010217597    4.783427229    -1.006749474   -2.327727287   3.982152776    0.9458101138   1.091752068    -1.563016449   3.086500443    3.376821802    3.225567186    -0.7842426832  -4.287787103   1.355822626    4.941244545    1.932090213    -0.00734397412 -3.233067415   0.6889272744   -2.678988006   3.706831874    -2.161472213   5.013121738    3.276193731    -0.9983117161  -1.825524461   -1.037687918   1.613642994    -129043.7037   	-1.29044e+05	-1.29044e+05
4        NO_ID      -4.076218146   -0.905183874   -4.839053926   1.919277322    -2.468981597   -3.389322184   -2.778678549   -3.184628437   3.70901944     2.696176031    -4.632485122   -0.1717239906  -4.544982452   4.723112888    -4.249660939   0.6704892117   4.736550798    0.7567418439   3.877462081    -0.93487228    -0.9917490158  -0.8858082827  1.62333079     3.3111948      4.558732871    -2.220849025   -5.097186804   1.190505081    -4.61373455    1.598017518    -0.799243141   4.65404828     1.064563738    -3.063062227   -0.8767455061  -1.632706076   1.260819727    3.158065126    -5.070310984   -4.042154607   -1.081126743   -2.28491348    -1.876151006   3.320257576    3.619954222    -1.929902646   -3.095875729   0.6623639637   -0.3167284158  5.069998474    -0.6836146123  -1.34675985    -0.8317441328  -1.178942228   0.8236188849   3.868086795    -1.664894559   -1.091752068   4.618734703    0.09359660634  -6558.536873   	-1.29044e+05	-1.29044e+05
5        NO_ID      -3.597453536   -2.586797693   -3.977465133   -4.075280618   1.94052797     3.342758263    -0.09484664449 -0.4736082034  1.571141697    -0.8345567186  1.432699973    -4.104031495   3.38525956     -1.345197302   3.870274361    0.2051625111   4.733738212    -1.078314158   2.311164281    1.337384564    -1.288945585   3.209316691    3.610266427    -4.46529252    2.49429487     -1.409261757   -2.707426374   3.266193426    2.905244911    -2.314914396   0.647363506    -3.3308829     -3.847773675   2.632736595    -0.8826831874  -2.258662679   -3.369321574   0.4526700644   -2.64961211    -1.857400433   -2.815242164   1.618330638    2.031780755    1.743334452    1.467701041    -4.54623249    -1.745834529   4.630922575    -1.836149785   -1.969903867   -3.451199072   -1.346134831   -2.289288614   4.72186285     -2.701176183   -2.449293497   1.278320261    2.621798761    0.8479946287   -2.344915311   -2542.542094   	-1.29044e+05	-1.29044e+05
6        NO_ID      -3.390259713   1.270820032    -1.628330943   -1.849275185   -1.356135136   1.648644063    3.096500748    3.14243965     0.2717270425   1.13769097     3.053374432    4.102156438    -3.637142247   1.33300943     -0.9992492447  -2.522108219   -3.721832331   3.637142247    -4.442479324   -0.7392413099  0.7511166723   -2.024593036   0.4920462661   -2.810242012   -1.931777703   -3.987152928   3.154315012    -3.740582904   -2.209286172   2.950246284    4.047154759    2.965871761    2.496482437    1.179879757    -1.422074648   3.652142705    -2.780241096   3.723082369    -2.770553301   -2.564609516   0.4342320017   4.96468276     -4.569045686   -4.286224555   0.2526639607   -0.7495541246  -4.150595416   -2.469919126   4.009341105    -2.736489761   -3.619329203   -3.839023408   4.419978637    -4.299662465   -4.637797784   -4.518731651   -1.675207373   4.246535844    -1.038312937   -0.6883022553  32233.42477    	-1.29044e+05	-1.29044e+05
7        NO_ID      -3.354008606   -1.686770226   -4.449979553   0.01953184606  4.748113651    3.166815394    -0.5482979827  4.22903531     -3.284318979   -0.1851619007  -0.2857899716  2.040218513    -2.574297311   4.47185522     -2.278975799   -2.052718894   3.301819514    3.273068636    1.330196844    3.021498459    -5.046247749   -2.447730949   -2.155222022   4.638422803    3.680893582    0.1785992004   2.124908597    -2.496794946   4.311537828    -0.08953398236 -4.162158269   3.33807062     -4.334663533   -2.225849178   -1.189255043   1.467076022    0.1545359661   -0.7011151463  -3.679018525   4.86374218     -4.355914182   -5.066873379   4.247473373    -0.9045588549  2.614611042    -3.198378857   -4.078405713   -0.787055269   1.822086856    0.280789819    3.319945067    3.45276162     -2.339915159   -0.005156407361 3.793397015    -3.59432844    4.820928373    0.3929807428   -2.860243538   -4.436541643   -135209.4522   	-1.35209e+05	-1.35209e+05
8        NO_ID      -3.333695486   -1.815836665   4.743113498    2.144284188    -3.097125767   3.71589465     -4.635610218   2.490544755    -4.750926237   -3.780271615   -4.27653676    0.5395477157   0.7061152989   0.3379790643   -2.8786816     -4.329663381   -2.000842311   -4.459979858   -0.9086214789  -3.750895718   -2.542733848   3.283381451    0.0898464919   -2.368353526   4.996558733    4.265286416    -3.873399457   -2.207411115   2.119283425    -0.297665334   -2.101782891   -1.590829798   0.2570390942   3.185878475    0.1764116337   -4.430603961   3.371196631    0.5570482498   -4.058717612   0.09797173986  4.574045839    2.28460097     -0.2670393994  -0.4986089663  4.289349651    0.500171514    -1.379573351   3.935901364    1.635518662    -3.865274209   0.07578356273  -3.968714866   -2.254912564   0.4757957701   2.982747276    -1.33957213    3.667143162    2.502107608    -0.3701675466  -1.437075106   337.998141     	-1.35209e+05	-1.35209e+05
9        NO_ID      -3.233067415   2.436168096    0.5645484787   4.14809534     -2.633049104   -3.185253456   1.072376476    2.032718284    0.8664326914   -1.522702719   -0.05672048097 -4.296849879   2.465231483    1.147378765    1.232693869    1.957090976    3.118376415    -3.593078402   0.7786175115   3.765583666    4.214347362    1.174567095    2.331477401    -4.677486496   1.71802118     4.879680166    -1.894276559   0.7086153752   -1.988341929   -3.339008148   -4.008403577   3.779021577    3.596516007    2.501795099    -3.5340141     -1.772397839   -4.307475204   -4.335601062   1.443637806    3.276818751    0.461732841    -0.52985992    -0.9320596942  -2.060844142   -0.3526670125  0.01234412671  -3.556827296   -1.81208655    2.437105625    -1.905839412   3.345258339    4.700924711    3.823085421    2.304289071    -2.047406232   4.546545       -3.81714774    -4.446854457   2.918057802    0.2517264321   -18.121586     	-1.35209e+05	-1.35209e+05
10       NO_ID      -3.043061617   1.408011719    -3.095563219   -1.718958708   2.669300211    1.525515305    4.649048128    -3.543389386   1.37332316     -3.300881985   -0.7901803644  -4.332475967   -1.080189215   2.621798761    2.734614704    3.396197394    1.966153752    -0.9523728141  -0.01546922208 1.443012787    -4.264661397   -2.21053621    -3.253068026   -2.748052614   1.241444136    -4.785302286   4.905305948    -1.702708213   4.925619068    0.280789819    -4.549670095   0.7295535142   -0.8783080538  -3.647455061   -1.045813166   -3.558077334   -2.024593036   -2.881806696   -4.583421125   -2.403667104   0.9861238441   3.644954985    -1.699270608   0.849869686    4.327475814    2.416167486    -4.857804498   2.960871609    1.389261147    -4.293412275   -4.059342631   0.2548515275   1.019249855    -0.6598638874  -4.909056063   1.712083499    4.902805872    -0.8158061464  -4.344976348   -1.608017823   -2608.291544   	-1.35209e+05	-1.35209e+05
11       NO_ID      -3.024623554   -3.09525071    -3.144627216   -3.076812647   4.677486496    0.9573729667   2.445230873    -2.105533006   1.841462447    2.929933164    4.314350414    4.387165136    3.525888852    -2.468044069   -4.04027955    -4.486230659   4.13465743     -3.60120365    4.021841487    -1.439575182   4.676548967    -1.212693258   -1.725833918   1.889901425    3.968402356    -1.227693716   -0.6833021027  1.788335826    -2.384916532   -0.1757866146  0.2851649525   3.093063143    3.011810663    2.522420728    -0.1364104129  3.356508683    0.6045496994   -2.265225379   -1.564891507   -4.565608081   4.211222266    2.692113407    -1.34675985    -2.228349254   -2.956808985   -1.796461074   -4.606546831   3.907775506    -2.572109745   -0.984873806   -3.636517228   3.842773522    1.107065035    2.904619892    -3.104313486   -0.4945463424  2.680550554    -0.6826770837  1.397386395    3.118688925    64897.67601    	-1.35209e+05	-1.35209e+05
