%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.097811823   0.1610986663   -4.097468795   -0.8404943999  -0.8395568712  0.5976744896   -3.019310892   -4.178721274   -1.455513169   -4.526544389   -3.753083285   3.799334696    2.981184729    -4.524981841   -1.031437727   2.837117832    -0.4382946257  -0.7670546587  1.537703177    1.302070986    -3.851523789   2.023968017    -2.631486557   4.416541032    -4.91780633    -0.8676827296  -1.185504929   -4.133407392   -1.572704245   -3.009623096   5.022497024    -0.3232911161  -2.282725913   -0.8592449721  4.370289621    -2.62242378    -1.557078768   0.6167375713   2.842117985    2.880556658    1.517390057    -1.255819575   3.146814783    -1.593954894   2.202723472    2.762428053    -2.388979156   3.157440107    0.415793939    -0.9351847896  2.058969085    -1.430824915   0.9751860103   -2.178347728   -0.8551823481  2.302101505    -2.293663747   -5.09999939    2.672112796    4.570295724    -68589.53624   
2        NO_ID      -4.974058046   3.468387097    -0.6345506149  -1.762710044   -1.253944517   -2.83836787    2.544608905    -1.497701956   -1.113940245   -4.922181463   0.1267226173   1.062688681    -5.016246834   -4.371227149   0.681114536    4.637172765    4.648423109    1.973028962    -4.261848811   -4.221847591   -4.65436079    -2.464918973   3.787146825    -2.635236671   -3.793397015   -4.130282296   3.8912125      -2.328352306   4.891868038    -1.220193487   1.16425428     -4.139345073   -4.24247322    -1.29957091    0.4273567919   -4.745301065   2.763678091    2.618673666    -2.834930265   -4.094343699   -0.3220410779  -1.505514695   -2.378978851   2.147721793    1.583954588    -4.936869411   3.07493759     4.487168188    -2.393979308   4.776552019    0.8570574053   2.714926603    -4.503418683   -1.638018738   -0.4520450453  -1.122378002   3.041499069    -2.272413099   -2.688675802   -3.731832636   -729.021417    	-7.29021e+02	-7.29021e+02
3        NO_ID      -4.434041566   -3.781521653   -3.156502579   -2.703051241   4.805302896    -4.851241798   -4.911556139   -2.686800745   -0.9964366588  2.154909513    -3.91152562    -3.240880154   2.866181219    -3.694018983   0.3589172033   1.715833613    0.8761204871   0.6167375713   4.3434138      -4.645610523   -1.996779687   -1.515515      -3.62807947    -2.569297159   -3.892775048   0.6342381054   2.877119053    3.713394574    2.846493118    4.317475509    -2.971496933   0.2367259743   0.4417322306   1.253944517    -0.9286220893  -3.627766961   1.345197302    1.353947569    -3.799647206   -4.881555223   -4.71530015    3.418073061    1.018312326    -1.785835749   -3.348695944   2.739614856    -0.7098654134  -4.812803125   -3.296194342   -2.474919279   3.64151738     3.228379772    -1.162379223   2.136783959    4.872804956    4.59998413     2.827742546    -1.648956572   -3.424010743   2.069594409    9109.641466    	-7.29021e+02	-7.29021e+02
4        NO_ID      -4.421541185   -5.111874752   0.05297036653  3.992153081    -3.788709372   -0.36110477    -4.284974517   0.08515884884  -0.247038789   -4.189971618   -0.9292471084  -1.892401502   -0.4042310862  0.9714358959   0.01921933653  -2.172097537   0.9995617542   1.007999512    0.06703329569  -0.5304849391  4.417166051    -3.695269021   -2.053968932   2.063656728    1.482701498    -0.2939152196  -2.991810053   -2.102095401   3.17587817     -0.6226752525  -4.956870022   -0.7695547349  1.929277627    -3.034623859   4.192784204    -4.821553392   -0.1657863094  1.062063662    0.1689114048   -2.167722404   4.707174902    4.443104343    2.049281289    3.82371044     3.295569323    -0.8304940947  -2.466794031   -0.3204785302  -2.295226295   -3.408697775   -3.141502121   1.031437727    1.68427015     3.925901059    1.937402875    -1.991467025   0.9326847133   -3.859649037   -0.1676613666  1.687082736    22.552863      	-7.29021e+02	-7.29021e+02
5        NO_ID      -4.373727226   -4.163720817   2.954308908    2.192410657    0.6361131626   1.745834529    -1.969591357   -2.549609058   -3.778709067   -4.74842616    -3.491512803   -1.511452376   -1.489264199   -2.047406232   -5.001871395   0.2217255165   1.964591205    1.81271157     4.532169561    3.658392895    -1.479263894   0.04359508042  0.1595361187   -0.5664235359  -2.438980682   -4.954369945   0.8058058412   0.8783080538   -0.3429792169  1.648644063    -0.6139249855  4.071530503    5.056560564    -2.666800134   0.7826801355   3.191191137    -0.3698550371  1.512702414    0.3207910398   0.04609515671  -0.7620545061  0.03390728477  -3.494637898   2.986184881    3.073687551    -0.6217377239  3.777771538    -4.965620289   -1.606455275   -1.597079989   -4.790302438   -0.4414197211  0.3007904294   -1.736771752   -3.097438276   -1.959591052   2.753052767    2.191785638    -2.238662069   2.349915464    -247.8768      	-7.29021e+02	-7.29021e+02
6        NO_ID      -4.143720206   4.245910825    4.748113651    -1.455200659   3.737770318    3.404010132    -2.153034455   3.70901944     2.484294565    0.1495358135   3.474637288    3.091813105    -4.841866512   2.48085696     2.402104556    4.245598315    1.98802942     0.2567265847   1.417387005    1.391761223    1.675207373    4.318725547    -0.8389318522  2.391791742    -4.880305185   5.071248512    -0.9754985199  -3.541201819   1.167066866    1.883963744    4.143407697    -3.950901822   3.893087558    3.792771996    -3.903712882   4.773739433    -1.048000732   -0.7398663289  -3.820585345   3.807147435    4.902180853    0.2776647237   -4.176221198   3.202441481    2.711176489    4.966870327    -1.609267861   4.819990844    -2.957121494   4.439041719    -0.1307852412  -5.041560106   -1.315196387   0.9589355144   -2.889306925   -2.271788079   -1.167379376   -0.6751768548  4.726863002    0.04046998505  158330.2876    	-7.29021e+02	-7.29021e+02
7        NO_ID      -3.795897092   -3.825585498   3.28400647     -5.030934782   -3.591203345   0.6401757866   -0.2898525956  3.443073824    -1.530515458   3.389634693    -2.274288156   4.064655293    2.942121036    -0.05765800958 3.858086489    3.115563829    0.4248567156   -4.714050111   -4.010591144   1.374573199    -4.132157353   -1.202380444   1.31300882     2.168034913    -4.064030274   -3.134001892   -4.572170782   3.041811579    4.558107852    3.37182165     -2.06240669    2.091782586    -5.029997253   -3.651205176   -2.495544908   3.915588244    -4.455292215   4.826866054    -0.1929746391  5.023747063    1.715208594    0.5695486312   -4.805615406   5.111249733    4.882805261    2.080219733    -3.874336985   3.547764519    4.221222571    4.619359722    2.623673818    -3.22994232    -4.693736991   0.247038789    4.871554918    -2.627111423   -3.961527146   -1.394886319   4.069655446    -1.579891964   25914.72388    	-7.29021e+02	-7.29021e+02
8        NO_ID      -3.725269936   1.251131932    -1.309883724   -0.2567265847  1.848337657    -1.985529344   3.566202582    -4.844679098   -1.128940703   -3.451199072   -4.263098849   1.263632313    0.3051655629   -0.6082998138  2.033030793    3.201816462    2.353040559    4.401540574    2.924933012    -0.8176812037  2.063031709    -0.7029902036  1.380823389    -5.114062319   -5.043747673   -4.339976196   4.061842708    4.835616321    2.913682669    2.874931486    -1.622080752   4.743113498    3.359633778    1.211130711    3.806522416    -0.9948741111  4.550920133    -1.155191504   4.505293741    3.97215247     4.881242714    -3.501825617   -4.769989319   -1.480201422   -0.9114340648  -4.297162389   -1.207380596   0.9608105716   4.801552782    -2.759615467   0.3342289499   -3.865586718   -4.176533708   2.882744224    4.823740959    4.841241493    2.321789605    -2.286476028   -0.7879927976  -1.029875179   -748.630039    	-7.48630e+02	-7.48630e+02
9        NO_ID      -3.289319132   -2.563046968   3.730895108    4.626547441    -3.536201666   3.814647664    -4.372789697   4.189971618    -4.205284585   4.896555681    -4.742488479   -3.62807947    -4.270911588   1.271132542    -5.019996948   -3.877462081   0.9420599994   -0.7020526749  1.604267708    2.639611805    1.045500656    1.965841243    3.645580004    1.599580065    -4.106531571   0.8170561846   -3.156502579   -2.590235298   2.509920347    2.527108371    -2.14334666    -1.000811792   -3.407447737   -4.254036073   1.659894406    0.4298568682   2.681175573    4.440291757    -3.120876492   2.727426984    -0.7773674734  0.2129752495   4.829366131    -4.666861171   -4.022153996   4.166533403    0.4886086612   5.015621815    1.208943144    -2.81805475    -1.382385937   -2.480231941   0.5620484024   -0.09703421125 -0.5873616749  -4.198721885   3.018060854    2.734302194    -5.016559343   -4.684674215   16497.23497    	-7.48630e+02	-7.48630e+02
10       NO_ID      -2.91930784    4.295287332    -1.707708365   1.774585406    4.279661855    3.706206854    -4.301850032   0.2604766991   1.454263131    -3.293381756   1.782398144    -4.269036531   -4.747176122   0.2979778436   3.185878475    2.368978545    -4.786552324   -1.428949858   4.400290536    -1.835212256   -4.309350261   3.328382824    0.7839301737   2.027405622    1.800836207    3.124001587    -0.4011059908  -3.403385113   -3.970277413   -1.834274728   -1.493951842   -0.845807062   3.258380688    -4.043092135   -0.07703360088 4.474355296    -2.751490219   1.276132694    1.397698904    -0.3848554949  0.9101840266   -1.741459395   -0.5523606067  -0.2292257454  0.5064217048   -0.8601825007  -1.785835749   -2.018342845   -4.599046602   3.813397626    -1.060188604   3.106188543    -1.935840327   -4.025591601   2.583672597    -2.58836024    -1.261757256   4.321538133    1.577704398    -1.573954283   -10017.91962   	-1.00179e+04	-1.00179e+04
11       NO_ID      -2.823054903   3.192753685    3.759645985    0.21266274     2.887744377    2.956183966    0.2845399335   -3.666205634   4.896243171    -0.8864333018  3.443386334    -3.056499527   -2.611485946   -4.348413953   -4.4384167     -4.589983825   0.02390697958  0.8592449721   0.8579949339   2.223349101    3.259630726    3.189003571    -4.699987182   4.383415021    -0.7017401654  -2.542733848   3.362758873    -1.026125065   -4.706549883   2.827742546    4.400603046    3.953401898    2.737739799    -1.349572436   3.527763909    -4.715925169   2.065531785    -3.915588244   2.353040559    1.126753136    -0.7173656423  -2.501795099   -0.824868923   -4.99155858    -0.4289193396  0.1317227699   -0.2395385601  3.016810816    4.434979095    0.8164311655   4.45841731     -4.751863765   0.7073653371   4.638110294    3.976840114    -2.958059023   -3.223692129   4.576858425    0.7808050783   0.4701705985   -62776.99997   	-6.27770e+04	-6.27770e+04
