%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.105937071   4.010278634    2.442105777    0.4411072115   4.09403119     1.020812403    -0.5604858547  3.139939573    -1.774585406   0.6039246803   -3.383384503   3.689331339    -1.166129337   -4.930619221   4.928119144    0.4517325358   4.196846828    4.369977111    -3.039311502   3.930588702    -1.670207221   4.281849422    0.7917429121   -2.880244148   -0.4651704459  2.205223548    -3.25681814    -4.362476882   4.164970855    -2.772428358   -2.479919431   -1.965216224   3.849648732    -3.717144688   1.004874416    0.6889272744   3.543701895    -2.866181219   1.634581133    0.7929929502   3.590890835    -2.627423933   -4.603109226   -1.991154515   -3.948401746   1.602705161    0.5273598437   0.217350383    -0.07015839106 4.079655751    -1.776772973   2.968996857    1.216755882    0.8926834925   -0.2179754021  -0.7233033235  -3.520576189   -1.273945128   1.11737785     -0.4139188818  34.77304       
2        NO_ID      -5.000933866   3.396822413    4.595296487    5.022497024    3.20994171     1.235193945    0.09078402051  -5.116874905   -2.037718436   3.509638356    -4.310600299   2.120220954    0.4917337565   -3.657455367   1.309571215    5.084686422    -4.892493057   -2.652424696   -3.845273598   -4.373414716   -2.296163823   -0.1298477126  5.114374828    2.068031861    -1.638018738   -2.030843226   4.614984588    -0.8489321574  -2.740864895   -2.260537736   2.579922483    2.25147496     -0.2061000397  -2.629924009   -2.875869015   3.12837672     -4.428416395   -4.851241798   5.031559801    3.537764214    2.212723777    -2.438980682   -2.23116184    -1.459575793   4.056530045    4.772801904    -2.474294259   1.996779687    -0.1507858516  -3.150252388   -3.053374432   -3.205254067   -0.2701644948  0.4017310099   -3.989340495   4.704674825    1.275820185    3.00024781     4.046217231    4.806240425    -12845.40786   	-1.28454e+04	-1.28454e+04
3        NO_ID      -4.497168493   -0.4382946257  4.391852779    4.637485275    3.068999908    -2.095220191   3.302132023    -1.729271523   1.417699515    -0.9483101901  4.661236       -0.3479793695  3.237442549    0.8436194952   4.51279397     -4.363414411   -4.994996185   3.03431135     -1.9611536     1.983029267    2.332727439    1.973028962    -3.202128971   -2.439293191   1.89365154     -5.015621815   -3.620266732   -2.934620808   1.52895291     2.451168554    3.602766198    -3.693081454   0.8529947813   -2.166159856   1.969903867    0.3217285684   0.36110477     -0.6073622852  -4.775927      1.504577166    -3.366196478   -1.190505081   -2.513670461   -4.880930204   -1.474263741   0.9483101901   -2.829930113   1.789898373    1.928652608    3.555889767    -1.321446577   0.01203161718  -1.039562975   -3.415885495   -4.999996338   4.524669332    0.1301602222   4.49216834     -4.314350414   -0.9795611438  96102.34067    	-1.28454e+04	-1.28454e+04
4        NO_ID      -4.333413495   2.599610584    0.3339164403   -4.313412885   -1.466138493   0.8301815851   3.165252846    2.003967406    -5.069060945   1.293945738    -2.611485946   -4.610921964   3.348070925    4.106219062    -4.8971807     -0.5079842524  3.400572527    -4.476855373   1.10393994     1.71145848     1.938027894    1.784898221    -4.000903348   0.006406445509 -3.712457045   0.9720609149   -2.89211951    0.6876772362   2.642111881    -2.147096774   -0.9467476424  -1.770835292   -4.974683065   -1.660206915   0.4611078219   3.978715171    4.759363994    4.214034852    0.5951744133   1.208943144    0.588611713    0.263289285    -1.745834529   -4.209659719   4.189346599    3.286819056    -0.3529795221  -1.039562975   -0.2273506882  1.754272286    -4.110281686   -1.163941771   0.3536045412   -1.072376476   -1.23831904    2.904932402    3.474949797    -1.517702567   3.201816462    3.335258034    4398.056666    	-1.28454e+04	-1.28454e+04
5        NO_ID      -4.172158574   1.829274575    1.703333232    -0.1960997345  -3.491512803   4.049654836    -0.3626673177  1.516452528    -2.594297922   -4.727800531   -2.074907071   4.403103122    -1.364572893   3.695269021    -4.699987182   2.928370617    -1.27238258    0.913309122    -3.779959105   -4.415916013   2.452418592    -2.517420576   1.943653066    -2.41960509    4.505293741    -4.140595111   -0.614237495   -1.244569231   4.415603504    3.282756432    -4.564983062   0.1489107944   0.5101718192   5.074998627    -4.069967956   1.551141087    -2.177722709   -1.477388836   -2.545546434   1.795836055    -1.744271981   -1.94084048    3.793709525    -3.249317911   -2.348040407   -0.7351786859  2.091782586    -4.190596637   -0.9633106479  -3.271193579   2.707113865    0.8817456587   -4.995308695   2.329602344    -4.111219214   -0.5948619037  0.208600116    -4.86342967    0.9529978332   -2.70336375    684.726685     	-1.28454e+04	-1.28454e+04
6        NO_ID      -3.984965361   0.5514230781   -4.993121128   -2.638361766   -1.732396619   -0.5657985168  -1.824899442   -0.3736051515  4.425291299    2.125846126    2.54835902     -2.178660237   3.996840724    -1.917089755   -3.157752617   -4.175908689   -1.526765343   -0.2223505356  0.3248536637   -3.822772912   -1.126753136   -4.980308237   2.331477401    3.618079165    -4.051217383   1.777710501    3.882462233    -1.208943144   -0.6273628956  -2.020842921   4.278724326    -4.902180853   1.583329569    -4.58654622    -4.281536912   -0.1895370342  3.571827754    -0.5079842524  3.372759178    2.639924314    -0.7520542009  1.109565111    -1.558328806   -2.790553911   4.467480087    -1.634893643   -1.888026368   5.025934629    -3.363696402   -0.1751615955  -4.388102664   4.988745994    4.579358501    -3.158690146   3.568077639    4.284349498    -0.4564201788  -0.02359447005 -2.779616077   0.09453413495  -6766.780935   	-1.28454e+04	-1.28454e+04
7        NO_ID      -3.908400525   -0.9448725852  1.913027131    4.24934843     -4.992496109   4.505293741    -2.051781365   3.967152318    -1.597392499   -3.543701895   -3.413072909   -1.484889065   4.584983673    1.888963897    -0.3473543504  -4.752176275   -0.9026837977  -4.72186285    -1.435512558   4.012466201    -5.035622425   -0.7042402417  1.194255196    3.93902646     0.479233375    3.529638966    0.5007965331   2.974309519    -4.513418989   1.066751305    -0.8111185034  1.031125217    2.253662526    -2.665862606   4.943119602    0.4404821924   4.192159185    4.319663076    -2.155534532   -2.538046205   3.327132786    -2.547108982   -0.4314194159  -3.863086642   0.5023590808   1.868025758    0.1992248299   -1.283632923   4.887492904    -1.397073885   -4.853116855   3.71620716     0.1414105655   1.782398144    0.643300882    -3.455886715   4.523106784    -2.66273751    3.339008148    4.716237678    26053.01768    	-1.28454e+04	-1.28454e+04
8        NO_ID      -3.487762688   -1.68427015    -4.914993744   2.630861538    -1.153003937   3.435261086    -1.1845674     3.315257424    -0.4901712088  1.158629109    3.409947813    -4.703737297   -1.148941313   -2.861493576   -2.603360698   1.656769311    -2.530233467   0.2048500015   -0.7889303262  1.273320109    2.25803766     0.3854805139   1.533953063    -0.1892245247  -0.9720609149  -4.011528672   3.966214789    -0.4686080508  3.39838496     0.9433100375   2.524920804    -3.754333323   -0.4595452742  -0.5592358165  4.122157048    3.726207465    1.344259774    4.355914182    -4.062155217   -1.624893338   4.644985504    2.168034913    -0.7008026368  -0.4801709037  3.629016999    2.302726524    4.853429365    4.03996704     3.900275277    4.333413495    0.5673610645   0.9414349803   0.5270473342   -1.438950163   1.981779229    -0.3736051515  -3.093375652   -2.263350322   -0.7117404706  0.5051716666   -7877.056811   	-1.28454e+04	-1.28454e+04
9        NO_ID      -3.404322642   -0.9758110294  -1.996779687   -4.052467421   2.043968627    4.642485427    0.1604736473   -4.820928373   3.819022797    2.368041017    3.693081454    -2.644299448   1.468638569    2.501482589    -3.057124546   -4.925306558   -4.155908078   -0.003906369213 -2.584297617   -4.71467513    -2.375541246   -3.761521043   -2.043343608   2.837430342    -3.975590075   -3.069624928   5.10624958     3.974340037    -0.6401757866  -0.8108059938  -2.843368023   -3.83777337    -1.966153752   -3.650892666   3.18962859     3.145252235    2.583985107    3.344320811    -2.510857875   -1.268632466   -2.89274453    -1.973028962   -5.057810602   -4.351539048   1.667707144    -3.6487051     0.8514322336   -2.307414167   2.081469771    3.174315622    -4.027154149   -0.1798492386  2.123346049    -4.845304117   -0.6679891354  0.6595513779   -2.486482131   -5.042497635   0.5004840236   -2.958059023   1983.511431    	-1.28454e+04	-1.28454e+04
10       NO_ID      -2.780866115   -2.391479232   2.24428724     -0.3595422224  -5.081561327   -2.080219733   -0.2554765465  4.179658803    2.922432936    3.94527665     -4.021216468   -2.793991516   4.672798853    1.663019501    3.936526383    1.378635823    -1.800523698   -1.350197455   1.014249702    -2.909307535   2.486482131    1.139878536    -0.8861207923  -4.936869411   4.81655324     4.307475204    3.397447432    2.634299142    1.739896847    -1.352072512   4.663736076    1.831462142    4.699362163    0.4589202551   1.825524461    0.9823737297   -0.8845582446  -3.339008148   4.884992828    1.467076022    4.455292215    -3.719644765   4.648735618    2.807429426    -1.203630482   -3.090875576   2.947121189    0.3404791406   -1.225818659   -2.973997009   -2.573047273   -3.732145146   -3.012748192   -4.381539964   4.4515421      -1.19144261    -3.454636677   -2.655549791   3.932776269    -0.4714206366  -21165.04301   	-2.11650e+04	-2.11650e+04
11       NO_ID      -2.711176489   2.924620502    0.5423603015   2.669300211    3.20275399     0.1745365764   1.67739494     -0.8111185034  -3.790896939   3.559952391    -1.991467025   -3.484012574   -2.793366497   1.969903867    -3.889024934   -1.131440779   -1.493014313   -1.546765954   0.8058058412   -4.029341716   3.023373516    1.458013245    1.753334758    -0.5754863124  -1.646456496   -3.667455672   -1.208630634   3.821210364    3.049311808    -2.7508652     1.051750847    -4.207784661   -0.2195379498  -1.898339183   1.45457564     -4.039029511   -4.91780633    4.470605182    4.986245918    0.9942490921   -0.0789086581  -4.079343242   -0.2854774621  -4.968745384   -3.318695029   0.7251783807   0.1464107181   0.09859675893  4.250598468    -0.8345567186  0.6826770837   -3.141814631   -0.3936057619  1.332696921    -0.5051716666  2.740552385    2.143971679    -4.891243019   2.261475265    -4.545607471   -172.772253    	-2.11650e+04	-2.11650e+04
