%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.104999542   -2.871181372   -2.215536363   -2.278975799   -2.922745445   2.248037355    0.4120438246   2.224911649    3.385572069    -1.317383953   -3.429635914   3.703081759    -4.487793207   0.2401635792   1.62333079     -4.370289621   2.337415082    -0.112034669   -2.46710654    1.042063051    1.897089145    -1.120502945   -4.756238899   -0.6879897458  4.098406323    -4.579045991   3.402447584    0.7861177404   -2.952433851   3.598078555    -1.54207831    4.640297861    -2.037093417   4.320288095    -3.694644002   0.2748521378   4.186221503    1.409261757    3.065562304    3.614016541    3.331820429    2.663987548    -3.634329661   1.898651692    1.94084048     -3.372446669   1.442700278    3.144939726    -3.849648732   0.8926834925   3.822772912    2.419292581    -2.653674734   -3.33119541    -1.577704398   -0.3451667837  -4.64717307    -0.4720456557  -1.248319346   4.049342326    -9947.383578   
2        NO_ID      -5.104687033   0.6176750999   -1.848962676   2.624923856    2.456481216    -4.14122013    -4.685924253   3.693706473    3.355258644    4.785927305    -5.036559954   -2.445230873   1.122378002    -4.70842494    -0.7561168249  -0.8192437513  4.386227607    1.016749779    0.0198443556   -4.739988403   -2.735864742   -3.587140721   1.679582507    -0.04422009949 3.774333934    1.752084719    -0.7664296396  -1.000811792   -4.294037294   2.390229194    1.638331248    3.888087405    2.672112796    -1.22488113    0.8151811274   2.741802423    -0.3014154485  -3.207441633   -3.226817225   -1.141753594   2.75774041     -1.068938871   -0.2098501541  -4.790927458   -1.202067934   0.4301693777   -2.826492508   3.277756279    -2.684300668   -0.3148533586  0.1217224647   -4.086530961   4.10715659     -3.645892514   4.605296793    -4.750301218   -0.5623609119  -3.315569933   2.268662984    0.3189159825   -1343.630465   	-1.34363e+03	-1.34363e+03
3        NO_ID      -4.952494888   -3.939338969   -4.919681387   -4.420291147   -4.679986572   -4.721237831   4.53966979     -4.117781915   4.075280618    1.088626972    4.666861171    0.8520572527   3.853398846    -1.4073867     1.338947111    1.782710654    -0.8814331492  3.524951323    -1.780523087   4.050279855    1.448637959    -4.683424177   -0.8414319285  0.7086153752   2.506482742    -0.5364226203  3.015248268    -0.4539201025  1.672082278    -4.328725852   -1.102377392   -2.318039491   -3.50651326    -1.018937346   -4.574045839   -2.538046205   2.837430342    0.5979869991   -0.1476607562  -1.304258553   2.660862453    2.974622028    1.121440474    -0.4486074404  -1.077064119   -0.280789819   -4.406228217   2.593985412    3.875587024    1.761772515    -3.134001892   -3.160877712   -3.105563524   1.298945891    -3.269006012   4.472480239    -4.469042634   -4.557795343   3.04118656     -0.7383037812  -0.927805      	-1.34363e+03	-1.34363e+03
4        NO_ID      -4.68811182    -3.391509751   1.554266182    -2.693050935   -5.005934019   2.071156957    -2.260225227   -4.869679861   0.8023682363   -1.090814539   -0.1839118625  -2.851493271   1.708020875    3.09525071     -4.14778283    -2.241787164   0.4629828791   2.455856197    -1.727708975   -3.866836756   -2.266475417   -4.6809241     -4.243723258   -1.562078921   2.08928251     2.781803644    4.761551561    -2.333664968   4.73498825     2.433043001    -1.737084262   4.375914792    -3.897462691   2.742427442    -3.803084811   1.924902493    4.141845149    1.146753746    3.040249031    1.888963897    -4.089343547   4.074655599    -4.909681082   1.576766869    1.189567553    -4.687174291   1.291133152    -1.153941465   2.748365123    0.2351634266   -1.131440779   -0.7389288003  3.201191443    -0.8351817377  -4.683736686   -3.293069246   -2.604923246   1.243944212    -2.485544603   -4.371539659   6.914602       	-1.34363e+03	-1.34363e+03
5        NO_ID      -4.461229896   -4.473730277   3.465262001    3.200878933    1.49488937     -0.9161217078  -2.823992431   -2.502732627   3.697144078    -4.137782525   -2.172722556   -1.315821406   0.9736234626   1.461763359    -0.8364317759  1.172692038    -3.8846498     3.353383587    -5.084373913   -3.384322031   -1.651769158   -4.293724784   3.60120365     3.185565966    3.342758263    -0.3261037019  3.826210517    4.947182226    -2.833992737   1.618643147    3.127439192    2.617736137    4.973745537    2.880244148    -2.528670919   3.220254524    -4.680299081   0.9198718223   3.498388012    -3.678393506   -1.190817591   3.288694113    2.540546281    0.3686049989   -4.031841792   -3.347758415   -1.014249702   1.522702719    4.736550798    3.038373974    1.298008362    1.637393719    4.37716483     2.180535295    -4.861867122   -2.224599139   3.329007843    -4.511856441   3.625891903    -2.73742729    16627.374      	-1.34363e+03	-1.34363e+03
6        NO_ID      -4.426541337   -3.160252693   -4.785927305   0.1076595355   1.611455428    -2.878369091   3.040249031    4.791552477    -3.46651204    2.01521775     0.3607922605   3.168377941    2.566797082    2.445230873    0.3045405438   3.258380688    1.916152226    -2.840555437   1.571454207    -1.476138798   -0.5820490127  0.6161125523   1.896151616    0.4482949309   2.890244453    0.8061183508   -2.152409436   -0.5511105686  3.422760704    -0.816743675   4.570920743    -0.9036213263  2.010842616    3.728395032    1.067688833    -2.771490829   0.9242469558   4.916243782    -1.540828272   -2.511482894   -4.020278939   0.1817242958   3.705894345    -3.439948729   0.7523667104   4.485918149    4.549357585    -0.09703421125 -4.474980316   -0.05765800958 4.153095492    1.030812708    -4.137157506   -2.376166265   -4.315600452   -2.39272927    0.4811084323   0.6683016449   -2.524295785   -0.1192223884  80.232659      	-1.34363e+03	-1.34363e+03
7        NO_ID      -4.254348582   -3.646517533   -1.318946501   -2.138659017   2.787116306    4.784989776    3.943089084    3.789334391    -0.4379821162  -2.076782128   2.955246437    -1.712083499   5.000621357    1.30644612     4.932494278    -1.681145054   3.361821345    2.799616688    4.18184637     -1.236443983   -0.2123502304  2.263350322    1.34675985     2.138659017    -1.007999512   5.080311289    -1.494264351   3.853398846    4.693736991    4.659673452    -3.38525956    1.16425428     -0.8539323099  4.165283364    -1.831774651   -3.287131565   0.3701675466   -0.2998529008  2.600860622    3.362446364    2.844305551    -4.324975738   -2.692738426   0.7308035524   1.655519272    -4.928431654   3.485575121    3.750895718    -1.968341319   4.612172002    -4.644047975   -0.9154966887  1.933027741    -2.458043764   -2.274600665   1.879276101    1.301445967    -3.080562761   -3.874962004   -1.055813471   19288.8757     	-1.34363e+03	-1.34363e+03
8        NO_ID      -3.825585498   5.103436995    4.304350108    -3.606203803   -3.438386181   -0.1960997345  0.4761082797   -0.3626673177  -1.223943602   -4.333100986   2.989309977    -1.786773278   4.243410749    -1.019874874   -2.876494034   -1.753334758   1.173317057    -0.2398510697  0.4164189581   -0.2689144566  0.7304910428   -2.363978393   1.64364391     -3.455886715   2.427417829    4.558107852    0.06078310495  3.364321421    1.693332926    2.882119205    4.424041261    -1.553016144   4.106844081    -3.883087252   -0.2073500778  4.020903958    -4.593108921   -2.229599292   -2.371478622   -1.296133305   -4.394977874   3.415260475    3.119001434    -3.660267953   2.954621418    -3.785271767   4.997183752    -4.105594043   -2.937120884   0.3111032441   -4.136844996   3.692143925    1.463638417    -3.210879238   -4.834053774   -3.529638966   -3.953401898   3.34494583     0.9245594653   -4.181221351   -178818.7266   	-1.78819e+05	-1.78819e+05
9        NO_ID      -3.754020814   -3.380259407   -1.620205695   0.3529795221   1.788335826    -4.408728294   -4.829053621   -0.478608356   0.7983056124   0.9589355144   -3.943089084   -3.763708609   4.872179937    -1.661769463   -1.664269539   -2.069281899   -1.140503555   -3.613704031   -0.6195501572  -1.232381359   -4.666548662   -2.211786248   -2.077407147   -2.440543229   -2.516483047   -0.7779924924  0.5514230781   0.02296945097  -1.255507065   3.986527909    0.4761082797   1.854900357    -0.9901864681  -4.873742485   3.107438581    -4.810615558   1.902401807    -3.900900296   4.057155065    -5.08593646    3.664955596    2.981497238    4.361851863    4.52623188     -0.4082937101  -2.825867489   -0.7576793725  -0.07265846736 -1.919277322   -3.309319742   4.725300455    4.442479324    -3.457136753   -3.419323099   -2.995247658   -4.465917539   1.415511948    2.33866512     2.943683584    3.219942015    3368.21331     	-1.78819e+05	-1.78819e+05
10       NO_ID      -3.563702506   0.0814087344   -4.621547288   0.445482345    -1.236756493   -1.04956328    3.161815241    0.5048591571   2.938683432    -4.615922117   2.843993042    -2.830867641   4.71498764     -3.872149419   -2.707113865   -0.4414197211  0.3557921079   -2.16334727    4.371227149    -2.827117527   -0.3729801325  0.5795489364   2.334289987    2.088344981    -2.233974425   1.047375713    -2.424917753   0.6120499283   4.035591906    0.3386040834   -2.576484878   -4.800302744   4.292787255    4.885930357    3.528076418    5.112187262    -3.858398999   4.200909452    3.095875729    1.809898984    4.824990997    -3.83777337    1.836462294    -4.26934904    3.373696707    2.562109439    4.201221961    4.686236763    3.579327982    2.269600513    -4.995621204   -2.363665883   -4.454979705   1.220505997    2.106470534    4.888430433    2.377728813    2.740864895    -2.727739494   -3.050874355   5931.618718    	-1.78819e+05	-1.78819e+05
11       NO_ID      -3.210566729   1.014562212    0.02296945097  -4.39779046    4.40435316     4.753738823    1.075189062    -2.984622333   -4.564358043   -1.574266793   -4.223410138   -3.103375958   3.213066805    3.010560625    3.733395184    1.115502792    -4.726863002   1.740521867    2.991810053    0.4542326121   4.334351024    -0.9729984436  -4.81655324    1.744271981    0.3257911924   -3.953714408   3.244942778    -4.976558123   -4.680299081   4.906555986    4.596859035    1.671769768    -2.316476943   3.152439955    2.348977935    -4.794052553   0.08859645375  1.733334147    1.878651082    3.539014252    -3.416823023   -4.931869259   3.193691214    0.05297036653  -1.675207373   -2.946808679   1.711770989    4.938431959    2.208348643    3.326195257    -4.77561449    4.14778283     4.879680166    1.713958556    -0.0848463393  5.013434248    -4.113406781   4.298412427    1.523640248    -0.276102176   -13994.93944   	-1.78819e+05	-1.78819e+05
