%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.103124485   3.846836146    -1.290195624   2.520545671    3.524013794    4.702174749    2.357415693    0.3954808191   3.465262001    5.080311289    -3.521826228   3.730582598    -0.8908084353  0.3414166692   -4.986870937   -3.774021424   -1.381448408   1.163629261    -1.323009125   -4.73530076    -1.208318125   -1.684895169   4.628109989    3.696206549    2.985247353    2.333039949    -3.759958495   0.8436194952   3.293381756    -4.14153264    0.3336039308   -2.629611499   -3.570265206   -0.08547135838 -2.853368328   -0.5526731162  -4.769364299   -0.2801648     -4.312787866   -0.9842487869  2.813367107    3.00712302     -1.696770531   -0.5620484024  3.478699911    -3.082750328   3.274006165    -1.240194098   -1.168004395   4.759051485    4.781552171    1.319259011    -0.153910947   -1.538953215   -4.297162389   0.411106296    3.339633168    1.131440779    4.260598773    2.735239723    4137.154356    
2        NO_ID      -4.559357891   -0.5614233833  2.565234535    0.4817334513   -4.162158269   4.344663839    1.894901578    -3.549639576   -0.3204785302  4.559045381    5.094374218    1.503952147    -4.85686697    -3.366508988   1.013937193    -4.184346446   1.855837886    -4.826241035   -3.259005707   5.088749046    1.492701804    -3.443386334   -0.2686019471  1.841774957    4.801552782    4.425603809    -1.081126743   4.317162999    -3.198378857   0.8070558794   -3.671518296   3.40526017     -1.43426252    -2.432730491   2.466794031    -1.768022706   -2.418042543   0.8489321574   -4.187471541   -3.915588244   -4.666236152   2.724926908    -4.790302438   1.317696463    -4.217784967   -3.442448805   -0.2832898953  2.519295633    -0.9329972228  -2.826179998   -4.08059328    3.058687094    -1.813336589   0.9001837214   2.301163976    1.890526444    2.022405469    -0.2986028626  2.513982971    0.4620453505   4675.167607    	4.67517e+03	4.67517e+03
3        NO_ID      -4.52623188    1.413324381    -3.440573748   0.3229786065   3.701831721    -2.388041627   -2.18366039    2.612110965    0.5951744133   1.510514847    -4.954682455   -4.066217841   -0.4570451979  -0.1320352794  3.512138432    2.736802271    -0.174849086   4.887492904    2.552734153    1.337697073    -5.043435163   -0.2482888272  2.964309214    1.50832728     -1.91396466    -3.181190832   1.698020569    -2.637736747   -4.821865902   -4.961245155   3.368384045    -3.739332865   -2.184597919   -3.090250557   -3.734957732   -0.1020343638  3.93871395     4.655298318    0.9458101138   3.16931547     -2.591797845   2.337727592    -2.835867794   -0.3848554949  -0.4942338328  -2.801804254   0.8245564135   -2.389916684   -3.94527665    4.050279855    4.550607624    -4.874054994   -0.9570604572  5.056560564    2.358665731    -0.8389318522  4.982495804    4.246223334    -3.653392743   -3.296194342   798.163065     	7.98163e+02	7.98163e+02
4        NO_ID      -4.348413953   3.481825007    -4.871242409   3.752770775    -3.420885647   -2.500232551   -3.865586718   -1.943965575   -2.111158177   -0.2676644185  2.331789911    0.238288522    -3.60089114    1.929277627    4.817178259    -0.2642268136  -2.612423475   0.9439350566   0.5732987457   -3.116188849   0.3904806665   1.651769158    0.3617297891   1.005811945    1.105502487    2.283975951    -2.808366955   3.396197394    -3.086812952   -0.3748551897  -1.906151921   -4.071530503   -1.10331492    -4.80967803    1.750522172    -1.517702567   -3.075250099   -1.140816065   4.226535234    2.067719352    3.551202124    0.8539323099   -2.719614246   -4.348101444   0.4179815058   0.6942399365   0.5373601489   4.047154759    5.075311136    2.57523484     -0.1617236854  -2.345227821   -0.01765678884 4.361851863    -3.10837611    0.7929929502   3.051186865    2.286788537    1.586454665    3.402447584    -71193.9908    	-7.11940e+04	-7.11940e+04
5        NO_ID      -4.058717612   -2.461793878   0.922059389    1.862713095    -2.841180456   -0.4686080508  2.98712241     -1.004249397   -4.684361705   -3.188066042   1.028625141    -3.562139958   1.268007447    3.739645375    0.6358006531   0.3879805902   4.325288247    3.068374889    1.810211493    -2.915245216   -0.006406445509 -2.876181524   -4.802177801   -3.884024781   -0.4229816584  0.7617419965   -0.1398480178  0.3026654866   4.037466964    -1.819586779   4.664986114    -1.514264962   1.316446425    3.439948729    -2.06209418    0.7323661      0.2367259743   0.9964366588   -1.345197302   -2.75711539    -3.656517838   -1.739896847   -2.66992523    3.836210822    -4.554670248   -2.789616382   -3.628704489   3.615891598    0.4557951598   4.432479019    -3.391509751   -1.103002411   -4.866242256   -0.7473665578  -3.114626301   3.47307474     4.406228217    -0.183599353   -3.208066652   4.980308237    -337.423399    	-7.11940e+04	-7.11940e+04
6        NO_ID      -3.749333171   4.28997467     1.088314463    4.281224403    3.654017762    4.416853542    5.081248817    0.5632984405   -2.434918058   0.5898617512   -2.899932249   2.1905356      4.76873928     4.903430891    -3.671518296   -4.860304575   3.318695029    3.878399609    -0.4523575549  2.270850551    2.782428663    -4.501231117   -0.6901773125  -0.6289254433  -4.699987182   4.189034089    -3.390884732   1.304258553    0.5073592334   -1.472076174   -1.867713248   -0.14516068    2.394916837    0.02703207495  3.530263985    3.195253761    1.15112888     0.5657985168   3.509638356    1.931152684    -1.456450697   -2.711801508   4.422791223    -0.9914365062  -3.481512497   -1.920839869   -2.239287088   0.1204724265   1.664269539    -0.7795550401  2.864306162    -0.5089217811  2.570547197    3.386509598    -1.147378765   1.044875637    4.890618       -2.338352611   -3.021498459   -2.809616993   7.259236       	-7.11940e+04	-7.11940e+04
7        NO_ID      -3.548077029   -0.6783019501  -4.854991913   2.153971984    -0.03453230384 -0.4889211707  1.449575488    -0.9573729667  -4.0059035     0.2398510697   1.796461074    1.54239082     -4.347163915   -1.868963286   3.461199377    1.513639943    -2.335227515   -2.700863674   -1.634268624   -4.967182836   0.984873806    3.484950102    -2.687425764   3.859961547    -2.000529801   4.772489395    2.074282052    -3.397134922   2.389604175    1.925840022    2.703988769    0.4648579363   -3.22994232    2.904307382    0.3886056093   3.250880459    -2.447730949   3.639017304    -0.1604736473  -2.047718741   -0.7351786859  2.749615162    2.263037812    5.115937376    -4.225597705   0.6004870754   4.351539048    -4.772801904   4.488418226    -0.344229255   3.616516617    -3.121189001   4.253723563    -2.502420118   -4.982808313   -4.484043092   -0.2395385601  -0.2992278817  0.1751615955   0.6823645741   234903.1989    	-7.11940e+04	-7.11940e+04
8        NO_ID      -3.279943846   2.432105472    -4.108094119   -3.619641713   -1.014874722   0.6958024842   -0.9358098086  4.752176275    -2.497107456   -0.6976775414  -0.3367290262  -4.921556444   3.61464156     4.995308695    3.644642476    -1.06300119    4.653735771    -0.9839362774  -3.094313181   -1.601142613   4.709362468    0.423919187    -2.742114933   -3.322132633   3.406822718    -2.091782586   -0.8648701437  0.9548728904   2.628048952    2.587422712    -4.312162847   -1.655519272   3.094000671    -1.895839106   1.773335368    0.8420569475   -1.194880215   -0.457670217   -3.755270852   4.68811182     2.942746055    -2.518045595   4.027466659    1.436450087    0.5907992798   -1.283007904   0.8442445143   -1.200192877   -5.003433943   1.390511185    4.45185461     4.236223029    1.772710349    3.430573443    4.528731956    1.033937803    4.156220588    4.928744163    2.907119968    2.97993469     -134781.7312   	-1.34782e+05	-1.34782e+05
9        NO_ID      -3.248380383   2.140221564    -3.00056032    3.682768639    3.403385113    0.1054719687   -4.879055147   -1.676144902   3.68245613     -1.559266335   3.89840022     -2.298038881   1.558328806    2.161472213    3.590265816    -1.674894864   -4.027779168   2.969621876    -2.80492935    0.56361095     3.797772149    3.81058504     4.621234779    -3.303069552   -0.2992278817  -4.230597858   -4.961245155   1.060188604    -4.056842555   -3.573077792   3.491200293    -1.551453597   -1.237381512   -2.324289682   -3.11493881    -0.7342411573  2.933683279    3.79683462     1.683645131    -4.351226539   -3.3308829     -2.445543382   -3.024623554   -3.184628437   -4.897805719   4.875930052    3.328382824    -0.6911148412  2.827742546    3.703081759    4.217784967    -1.294258248   -4.579358501   1.192692648    -2.679300516   0.8608075198   4.74217597     4.369977111    -3.214316843   -4.105906552   -4872.078501   	-1.34782e+05	-1.34782e+05
10       NO_ID      -2.917432783   -3.559014863   1.973028962    1.451763054    2.108345592    -0.8445570238  -3.521513718   -4.469355144   -2.656799829   2.092407605    2.560859401    0.3836054567   -3.134626911   -2.134908902   4.406540727    -1.824586932   -0.8773705252  -2.42679281    -4.539044771   -5.105312052   1.57614185     -1.600205084   0.1207849361   -2.481794488   3.919963378    -4.292787255   2.883056734    2.557734306    -2.357415693   -4.846241646   0.3182909635   -4.973120518   -3.990590533   -4.290599689   -3.018685873   2.946808679    -0.1770366527  1.492701804    -3.217754448   1.631456038    4.243410749    2.586172674    -4.74186346    -0.4036060671  3.471512192    3.233067415    3.78339671     -2.077407147   -3.831523179   -3.385884579   -1.478638874   1.323634144    -0.3811053804  -4.677173986   -0.7633045442  -1.9677163     3.829335612    -3.737457808   -3.314944914   4.826241035    -3365.333587   	-1.34782e+05	-1.34782e+05
11       NO_ID      -2.666800134   2.748677633    -0.5270473342  0.4842335276   0.1717239906   -2.438668172   -2.929933164   3.606516312    2.925558031    4.55998291     0.7158030946   4.447166967    4.931556749    -1.501452071   -1.109252602   -2.751490219   -4.073093051   -4.510918912   2.644924467    1.106440016    2.532733543    -3.243067721   -4.551232643   -3.346508377   -2.128346202   5.055935545    2.984934843    4.689986877    -0.2273506882  -2.414292428   -3.522763756   -1.415199438   2.029593188    0.3689175085   3.645892514    2.786491287    2.724301889    4.565295572    -2.485857112   -2.413667409   -0.6329880673  2.809929502    -1.395823847   2.94649617     -0.1826618244  -1.312383801   1.70458327     2.504607685    0.6661140782   1.1911301      -1.09675222    -1.358635212   2.517108066    0.6354881436   -3.201191443   3.086187933    3.606516312    -0.6839271218  2.612110965    -2.056469008   3785.64721     	-1.34782e+05	-1.34782e+05
