%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.117812433   -2.705863826   -1.696770531   4.295912351    -3.764646138   -2.499607532   -4.131219825   4.587483749    2.574609821    -1.699270608   4.192784204    3.140252083    4.764364147    -2.272100589   -0.4561076693  1.331446883    -1.802398755   -4.333413495   -1.529265419   -1.820211798   -1.457075716   4.217784967    -2.721801813   4.237785577    1.349884945    1.196755272    0.1623487045   4.540919828    2.315226905    -1.382385937   -0.6323630482  4.06028016     -4.669986267   3.752458266    1.123315531    -2.746177557   3.666205634    3.652455214    1.678957488    -4.842179022   -0.0198443556  -3.509013337   -3.038686483   2.817429731    -4.217472457   -4.197159337   1.850212714    -1.422387158   2.441793268    0.2664143803   -1.244881741   2.59554796     1.011749626    -1.534578082   -3.70933195    -0.6292379528  1.838024842    1.268944975    5.094374218    -3.781834162   768.471961     
2        NO_ID      -5.101874447   -3.034623859   4.292474746    -0.1995373394  -3.49307535    -4.310912809   3.330257881    -0.5192345958  -1.614893033   3.159002655    -3.568077639   3.744333018    -4.212472304   -4.727800531   1.948340709    1.644268929    -3.240880154   -3.318695029   -0.7508041627  2.616486099    2.35929075     3.153064974    -0.9198718223  -4.351851558   -2.691488388   -4.451229591   2.89899472     -4.248098392   -3.82402295    2.228974273    1.271445051    3.975902585    0.7836176641   -2.288038575   2.687425764    -0.9667482528  -4.126844691   3.995590686    -2.881806696   1.836774804    2.554296701    -1.941465499   -0.7283034761  3.327757805    -0.8726828822  2.182410352    4.189346599    1.687395245    -4.947182226   1.572079226    0.141098056    0.7692422254   -4.024341563   4.477480392    4.583421125    0.7892428358   2.213036287    1.933340251    1.894901578    -3.041811579   304370.8696    	3.04371e+05	3.04371e+05
3        NO_ID      -4.965620289   1.678644978    -2.812117069   4.489980773    -1.611767937   2.998060244    -4.332163457   4.63404767     2.504920194    3.100875881    2.579922483    2.577109897    -4.542169866   -3.127439192   -2.768365734   -0.4592327647  -2.570547197   0.7123654897   1.671144749    -2.753052767   -0.6639265114  -2.706176336   1.921152379    5.092186651    4.036529435    2.667737663    3.957152013    1.49520188     0.1960997345   -2.539608753   -4.378414869   3.351821039    0.9754985199   1.538015687    0.4032935575   3.263068331    -1.906464431   3.166502884    4.509981384    0.1489107944   4.397165441    1.551453597    4.607484359    -4.441854305   4.764676656    -3.3177575     -1.386136052   -3.039936522   -1.286133      1.031437727    3.078062685    2.735239723    -4.493105869   -0.8045558031  1.453013092    -0.09265907773 1.75864742     1.71802118     -1.044875637   0.533922544    -222.920109    	-2.22920e+02	-2.22920e+02
4        NO_ID      -4.685299234   -3.000872829   4.801552782    3.544326914    -0.6367381817  -1.482388989   4.474667806    -0.4611078219  3.235254982    -1.28582049    -3.929963683   -3.943089084   0.1857869198   -1.073939024   -3.579327982   -2.174285104   -0.2007873775  -3.611828974   2.427105319    2.247412336    -0.5276723533  4.494355907    3.234317454    -0.008594012268 4.402478103    -0.7636170537  -1.171442      -2.715239113   2.95337138     -0.4904837184  -4.067467879   3.904337901    3.961527146    2.549296548    -1.837399823   -2.574297311   1.901464278    2.675862911    2.284288461    2.298038881    -3.046499222   -1.066751305   -2.951183813   -2.668362682   -2.670862758   4.753113804    -3.070562456   -5.027184668   -2.222411573   -4.048092288   4.837491379    -4.288412122   4.992183599    4.757488937    -2.421167638   -2.844305551   1.43457503     -0.795180517   2.210223701    -3.359633778   -13805.39053   	-1.38054e+04	-1.38054e+04
5        NO_ID      -4.540294809   -3.711207007   -3.842148503   4.439041719    -1.89365154    4.007466048    -4.430291452   -3.878712119   3.323382672    2.941808527    -3.290256661   -3.350258492   -3.447448958   -1.648019044   1.764272591    1.890526444    -1.721458785   1.810211493    -2.417730033   1.96084109     -3.285569018   4.021216468    -2.46741905    -4.820303354   -0.6114249092  0.5454853969   -3.660892972   -3.160877712   -2.12959624    1.619580676    3.339320658    -2.965246742   3.397447432    3.356508683    -2.963684194   0.9986242256   -1.160191656   -5.111874752   -2.879619129   3.767771233    -4.510293893   -0.7929929502  4.660610981    1.918652303    -0.8561198767  -3.014935759   -3.596516007   -3.404322642   2.292413709    -2.62211127    0.3695425275   -1.594892422   1.444262825    2.684300668    -1.652706687   -1.356760155   2.793053987    -2.253350017   -0.06734580523 -0.6495510727  323.113951     	-1.38054e+04	-1.38054e+04
6        NO_ID      -4.513106479   -3.422448195   4.219972533    -4.973433027   0.7014276559   -3.373384198   0.2967278054   0.8642451247   1.565516526    -1.395198828   -3.886837367   2.742114933    3.248067873    4.749363689    -1.71770867    -2.83180517    3.028998688    -3.752770775   -4.313725394   -0.0001562547685 0.7029902036   0.5779863887   4.495293435    -0.2876650288  -3.3111948     1.19144261     2.482106998    -2.988684957   -2.646799524   -0.3882930998  -0.00109378338 3.105251015    0.9983117161   2.438355663    -1.665832087   -3.046186712   4.507481307    -2.434293039   0.888308359    0.5423603015   4.091218604    -0.6933024079  1.968966338    -3.989653005   -0.5854866176  1.451450545    -4.230597858   -2.714614093   -4.977495651   -0.1292226936  2.002717368    0.05140781884  -1.893964049   -4.624047365   -2.840555437   -0.1776616718  -3.711207007   -4.919056368   3.863711661    -3.487762688   1153.46447     	-1.38054e+04	-1.38054e+04
7        NO_ID      -4.483418073   -4.306537675   -4.441541795   3.890899991    4.569670705    -2.698988617   -1.383948485   -4.262161321   3.187753533    3.946839198    1.681145054    0.1176598407   -1.457388226   -1.661456954   -2.126471145   4.016216315    2.641174352    -0.03609485153 2.857430952    -0.8139310892  0.7886178167   2.249599902    -1.123315531   2.83868038     3.437761162    -2.497107456   4.574045839    -2.046468703   1.253319498    -4.765614185   0.8236188849   -1.668644673   -3.480887478   -4.22247261    0.9101840266   -1.936152837   2.404604633    -1.109252602   -4.716862697   0.3067281106   -1.11050264    -0.9817487106  -2.224599139   -2.331789911   3.111813715    -4.308725242   -4.803740349   -3.29713187    -2.827430036   1.470513627    -3.529013947   -0.2176628925  4.284662008    4.225910215    3.714957121    -4.134969939   5.095311747    -0.7226783044  -0.9904989776  -3.670580767   -1538.350054   	-1.38054e+04	-1.38054e+04
8        NO_ID      -4.39779046    4.105281533    -4.083093356   -3.482762535   -2.017717826   0.2232880642   1.088939482    0.7633045442   -3.37838435    3.956526994    2.237099521    -1.945215613   1.837712333    -0.8629950865  -1.610830409   1.49488937     0.08640888699  -4.818740806   -1.377698294   -0.1217224647  2.509920347    0.4901712088   0.7383037812   -2.657737358   -1.059563585   2.990560015    -0.2776647237  4.638735313    -4.391540269   -3.464324473   1.976466567    2.823992431    2.468356578    4.849366741    -4.261848811   -2.54804651    5.024059572    -1.6367687     -2.964621723   -0.2557890561  1.615830561    3.800897244    -1.297383343   1.621768242    -2.313039338   4.898118229    3.258068178    -3.885274819   -2.970246895   -4.456229743   -2.121158483   -2.603673208   4.41091586     -1.217693411   1.078626667    -0.6879897458  -2.341477706   3.353383587    -1.637706229   0.731741081    -255.381629    	-1.38054e+04	-1.38054e+04
9        NO_ID      -4.327475814   -3.068687399   4.827178564    -4.519981689   1.396136357    2.697113559    -3.416823023   -5.007496567   1.014249702    -3.883712271   -2.635549181   1.870838343    3.534639119    2.152096927    -3.511200903   4.025279092    -1.570516678   3.3308829      4.099968871    0.5698611408   -2.996810205   -3.874024476   -4.056842555   -0.187661977   -1.262382275   -4.082155828   2.163034761    5.025934629    4.537794733    3.655580309    3.797772149    3.680581072    -0.8811206397  3.657455367    2.09615772     1.413636891    3.973402509    -4.567170629   -3.985590381   3.782459181    0.2745396283   -4.155908078   -2.508045289   -2.685863216   -2.753365276   4.247160863    4.187471541    -3.262443312   4.387790155    0.05109530931  -2.164909818   5.114687338    -1.243319193   -3.937151402   0.5414227729   4.95124485     4.121844539    2.005842463    1.180817286    1.088314463    21644.2756     	-1.38054e+04	-1.38054e+04
10       NO_ID      -3.750895718   -0.145785699   -1.13706595    -4.359976806   0.1520358898   -3.47963744    -0.4814209418  5.089374065    -2.342727744   2.148034303    -3.372446669   -2.27147557    0.2607892087   -0.4870461135  -4.814990692   1.316758934    -3.868711814   -0.7858052309  2.240537126    -4.06684286    -4.723112888   2.734614704    -4.369039583   3.928713645    -3.510575884   -4.639672842   -2.299288919   -1.943653066   -2.006467483   2.565234535    -0.4042310862  1.864588153    4.750926237    2.809304483    -1.140503555   3.786521805    0.7458040101   -3.39900998    -1.669582202   -2.428355358   3.054936979    4.299974975    3.778084048    -4.221847591   2.168972442    -4.46498001    1.397698904    1.283007904    -2.456793725   4.008716086    3.809335002    -1.427074801   4.520606708    0.4757957701   2.310851772    0.9770610675   -4.16122074    2.947121189    -4.042779626   0.5573607593   220.101371     	-1.38054e+04	-1.38054e+04
11       NO_ID      -3.611516465   -2.409917295   3.753083285    -1.243944212   3.606828822    -4.97124546    -0.6251753288  4.575608386    -4.764989166   0.7458040101   -3.640892361   0.9967491684   -4.533419599   2.625548875    -1.863338115   -0.3254786828  0.782367626    3.930588702    1.445512864    -4.061217689   1.997404706    4.521231727    2.748052614    -3.093375652   3.605891293    0.4179815058   0.8283065279   -0.3873555712  -1.490514237   4.583108615    -2.833992737   -3.719644765   4.681861629    4.759989013    0.8154936369   -3.185878475   -1.024562517   4.615609607    -1.580516984   2.269600513    -2.012405164   2.58211005     -1.513327433   1.305508591    -1.691770379   3.438073672    -2.072094485   -4.945932188   -4.657173376   -1.051438337   0.4520450453   -0.4651704459  -2.157722098   2.367415998    -3.737457808   0.3214160588   1.327384259    1.438325144    1.93365276     3.157127598    -63327.43951   	-6.33274e+04	-6.33274e+04
