%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.116249886   0.2570390942   0.9383098849   -2.173347575   0.5986120182   -4.812803125   -3.257755669   -2.311476791   -3.988402966   -0.1076595355  0.0560954619   -4.597171545   4.882492752    4.938431959    2.123658559    0.4017310099   3.340258187    2.101470382    -4.236535539   1.796148564    3.597141026    0.7520542009   4.288099612    -4.467480087   -0.6429883724  -1.65739433    2.36585345     -2.189285562   3.64839259     1.31269631     3.063062227    0.2770397046   -4.924994049   3.295881832    -3.495887936   1.723021332    3.207754143    -3.534951628   4.153720511    0.1210974456   -4.48560564    4.821240883    -4.403728141   -2.199598376   1.35332255     0.2161003449   3.500575579    -4.236535539   2.301476485    -2.87899411    -0.6839271218  -0.778305002   3.868711814    2.613048494    -1.480201422   0.1129721976   2.187410504    4.939369488    -1.086439405   -0.3636048463  165.855173     
2        NO_ID      -5.100936918   0.3245411542   -0.365167394   -2.919932859   -0.2695394757  -3.083687857   4.302787561    -1.43426252    3.544951933    1.237694021    -3.614329051   3.758083438    2.705863826    0.4429822687   -1.356760155   -3.177753227   -5.100311899   2.439293191    -0.1785992004  -0.2723520615  -4.313725394   -2.249599902   3.772458876    -2.159909665   1.872088382    -0.9954991302  -0.6820520646  0.9008087405   -0.7011151463  -1.640831324   2.209286172    0.3411041597   -5.103124485   -4.490918302   -2.012092654   -1.38051088    -3.484325083   -1.969278848   -1.450825526   4.657798395    2.294913785    3.349945982    0.2404760887   -3.022748497   5.016246834    -2.792741478   5.104999542    4.614984588    1.513639943    -1.614580523   -4.499668569   0.2192254402   2.34585284     0.2532889798   3.223692129    1.167379376    1.086126896    2.734927213    -0.4711081271  1.421449629    145587.3765    	1.45587e+05	1.45587e+05
3        NO_ID      -4.767801752   0.2001623585   4.803115329    -3.868711814   -5.029997253   -2.483357036   -0.5576732688  1.024562517    4.275599231    -1.934902799   0.2645393231   4.056217536    1.427074801    1.573641774    4.709362468    -2.56835963    -0.08953398236 2.390854213    2.115533311    -1.300820948   -4.491230811   -4.108406629   1.863650624    -1.67739494    -3.144939726   0.7436164434   3.696206549    -1.200505387   -3.598078555   3.913088168    -4.980933256   3.556514786    -0.1064094974  -3.588703269   3.663705557    3.305882138    2.018030335    -3.579015473   4.186221503    2.422105167    -4.403728141   2.523045747    3.151189917    -0.1017218543  4.395915403    -1.059563585   -0.9292471084  -1.838649861   1.639893796    -3.511825922   -0.9123715934  -4.730925626   1.259882199    -4.383415021   3.115563829    3.046811731    -0.3532920316  -1.400824      4.399353008    -4.518419141   -138177.5936   	-1.38178e+05	-1.38178e+05
4        NO_ID      -4.281224403   2.110220649    4.423103732    -3.720582293   3.521826228    -1.505514695   1.510827357    1.592704855    -1.168629414   -3.642142399   3.924651021    0.360479751    2.442730796    3.640267342    -2.969934385   3.808397473    1.903964354    -0.858619953   -0.06953337199 1.073939024    -2.012717673   -0.8092434462  4.98530839     -1.437075106   -4.57998352    4.809990539    -0.6476760155  -2.433980529   4.757176428    -2.618361156   4.87030488     -1.226131169   4.510293893    2.334602496    -4.202471999   4.574358348    2.100220344    -0.2704770043  -0.6239252907  -4.871554918   -0.6107998901  -1.773022858   3.210254219    2.707426374    1.350509964    0.1117221595   -5.090624104   4.286537065    -3.47994995    -0.2192254402  3.74995819     2.644611957    -3.411822871   -0.6323630482  -1.246131779   -4.521856746   2.331164892    -0.4095437483  4.473105258    -2.022405469   3.914484       	-1.38178e+05	-1.38178e+05
5        NO_ID      -4.201534471   3.816522721    -4.129657277   4.560295419    1.208318125    -4.072780541   -3.384009522   3.347758415    0.1932871487   -2.808054445   4.423416242    -1.977404096   -2.259600208   3.454636677    4.46498001     -2.809616993   -1.140503555   4.490293283    -2.359915769   0.4379821162   3.05462447     1.871150853    4.576545915    -2.14959685    1.935215308    -3.065249794   -4.51216895    -2.612735984   -4.352476577   4.207784661    -0.339541612   4.919368877    -2.274288156   -2.827742546   -1.930840175   -0.5167345195  3.082750328    -4.665298624   -3.737457808   2.640236824    1.381760918    4.909681082    3.902462844    -2.230536821   0.2682894375   1.606142766    0.6448634297   2.98712241     -2.659924924   -4.48529313    3.882462233    2.320539567    -1.539890744   -2.065219275   0.5851741081   -2.134283883   0.8051808222   1.818024232    2.121158483    0.2026624348   -820.509383    	-1.38178e+05	-1.38178e+05
6        NO_ID      -3.830273141   -4.031216773   2.133346355    -3.549014557   4.339976196    -2.8786816     -2.611173437   2.485544603    -4.187471541   -1.925840022   4.915931272    -4.113094272   0.3195410016   4.118719443    -3.254318064   -0.4332944731  4.112469253    -0.9351847896  4.313412885    -3.774958953   -2.965871761   -0.1317227699  1.938027894    2.708676412    1.611455428    1.354572588    -2.874618976   -5.054685507   -2.556171758   -0.4714206366  -2.231474349   -2.618361156   -2.782428663   0.3376665548   2.488669698    0.5986120182   3.295256813    -2.4199176     1.6367687      0.5476729637   -1.193317667   0.9101840266   2.07553209     -2.832430189   -0.8389318522  -4.775927      1.818649251    0.05984557634  0.4586077456   4.548732566    -0.6654890591  1.865838191    4.320913114    -1.656144292   4.545607471    -2.25803766    -3.41869808    -2.328352306   3.210879238    1.338009583    3982.013279    	-1.38178e+05	-1.38178e+05
7        NO_ID      -3.698394116   4.581233558    -1.028625141   3.850273751    -4.619984741   4.306225166    -4.664048585   -2.802116764   -3.008060549   1.324571673    4.658423414    1.479263894    2.303976562    -4.177783746   -0.03453230384 -2.342102725   4.76905179     -1.274570147   0.2239130833   3.999028291    -4.542794885   -3.493700369   -1.998654744   -2.596485488   0.6495510727   3.530263985    3.388697165    -2.033030793   -1.594267403   -3.819335307   2.258350169    0.9136216315   -3.961839656   -0.8333066805  0.7092403943   -1.846775109   2.562109439    -4.631547594   4.965932798    -1.102064882   3.96590228     1.303946043    -4.060905179   4.858117008    3.064312265    0.05453291421  3.730270089    3.057749565    -3.751833247   2.052093875    3.348070925    3.47276223     0.09703421125  -2.755552843   3.174003113    0.2048500015   0.1685988952   -2.637736747   -3.759020966   -3.959652089   -4510.955944   	-1.38178e+05	-1.38178e+05
8        NO_ID      -3.62839198    3.485575121    2.496169927    -0.1760991241  -3.24369274    -4.772176885   -4.999683828   3.375884274    1.005499435    2.025530564    -0.3282912687  0.9889364299   -0.453607593   4.682174139    -2.315539415   -3.2161919     -1.158316599   4.134969939    2.051781365    1.526452834    -3.619641713   -4.639672842   -1.053000885   -5.098436842   -2.15022187    -0.9364348277  2.404292123    -1.786460768   0.006406445509 1.699583117    5.119374981    -2.022717978   1.006436964    -2.556171758   2.312414319    -1.500827052   2.678362987    3.137126988    4.488105716    -4.889992981   5.053435469    4.28966216     1.016749779    2.783366192    -1.403324076   0.1514108707   -4.824053468   3.490262764    -4.580921049   3.514951018    0.8929960021   -1.783648183   2.508045289    -0.5767363506  -1.056750999   -3.720894803   -1.261757256   -5.064373302   -1.145816218   4.981870785    43.81038       	-1.38178e+05	-1.38178e+05
9        NO_ID      -3.606516312   5.030309763    -1.949278237   -2.468669088   3.537139195    3.47307474     4.403415632    4.574045839    -4.989058504   -4.971870479   -2.415229957   1.905839412    1.046438185    2.289288614    -5.077186193   4.78936491     4.522794275    -4.259661245   5.028122196    -3.201191443   0.9008087405   1.965841243    -3.706831874   5.119062471    4.01277871     -4.605921812   2.777116001    -0.7804925687  -1.967091281   2.705863826    1.703958251    3.633079623    4.91093112     4.218722495    0.6654890591   1.468951079    1.341134678    -0.06609576708 -0.5179845576  -1.087689444   -2.085844905   -1.356135136   -1.437387616   1.418324534    4.28997467     0.816118656    -4.790927458   -4.630922575   -1.534265572   -0.09859675893 -3.665893124   3.350883511    2.870556352    1.099252297    -0.7151780755  -0.3923557237  -3.765896176   0.3039155248   -0.03765739921 -0.3992309336  -5389.658063   	-1.38178e+05	-1.38178e+05
10       NO_ID      -3.573702811   -3.048374279   0.04547013764  2.249599902    2.457418744    -4.210597247   -4.199346904   1.158629109    4.667173681    -2.909620045   5.089686575    -3.141502121   3.2096292      -1.604267708   -4.807490463   -2.128658712   0.782992645    4.098406323    2.517108066    -2.898057192   4.138720054    1.708333384    -4.84342906    -3.686831263   -1.986779382   0.3798553423   -0.7651796014  -2.978059633   -0.6792394787  2.73742729     -4.737175817   -4.744363536   -2.637424238   1.201130406    -2.994935148   2.250224921    0.5392352062   2.974309519    3.396822413    -4.597796564   -4.678424024   0.8089309366   0.4867336039   -4.349976501   -2.997435224   -3.888399915   0.9195593127   1.506764733    -2.012092654   1.7514597      0.9548728904   -3.602766198   3.387134617    -1.996154668   -3.849961241   -4.945307169   0.6248628193   4.518731651    -2.859306009   -2.542733848   -1039.108548   	-1.38178e+05	-1.38178e+05
11       NO_ID      -3.489012726   -1.340509659   -2.983372295   1.592704855    3.077437666    -2.440543229   1.340509659    -0.5876741844  -2.891807001   3.660267953    2.639299295    4.652485733    -4.083093356   1.666144597    3.425260781    1.663332011    4.238723106    -3.503075655   -1.875838496   -5.029372234   -0.9983117161  -1.186442457   2.41960509     4.452167119    1.398011414    4.644047975    -2.109908139   -2.826805017   1.054875942    -1.129253212   -0.3654799036  3.244630268    3.987465438    -3.023686026   -1.129253212   2.576797388    -0.1532859279  1.209255654    -1.561766411   3.977777642    -2.725239418   -1.789585864   -4.402478103   -4.371227149   4.793115024    -2.859618519   -3.066187323   4.060905179    3.63464217     -0.1757866146  1.676769921    2.10959563     4.995933714    4.358414258    -2.718051698   -4.866867275   2.587110202    -4.86342967    -4.248098392   -4.751238746   -36274.67451   	-1.38178e+05	-1.38178e+05
