%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.09999939    3.683393658    -5.022809534   4.59998413     2.953683889    -1.856462905   -4.96468276    -2.348977935   -1.535203101   -0.6839271218  -3.660580462   3.771833857    -0.6158000427  -4.626547441   -4.661861019   2.240537126    3.280568865    -2.042718589   0.3932932524   -3.160877712   -0.7461165197  2.58836024     -1.775522935   0.03234473708  -3.804647359   2.46054384     -4.263411359   -4.190596637   2.421792657    4.729988098    3.146814783    -3.293694266   -0.7495541246  3.546514481    3.528701437    -1.794586016   -2.842117985   2.306164129    -0.0198443556  -2.761490524   2.035843379    -1.598642537   1.209255654    0.8670577105   0.6651765496   2.472419202    -4.219972533   -2.697738578   -2.265850398   -4.801552782   1.099877316    -0.330791345   -1.524577776   -3.970589923   1.863963134    1.545515915    -0.04046998505 3.536826685    -2.836805322   -4.355914182   -148060.5838   
2        NO_ID      -4.311537828   -1.820524308   -2.256787622   4.617797174    5.032809839    -3.570577715   5.050622883    0.06703329569  -1.647706534   2.606798303    -3.311507309   -3.259005707   -4.894993133   -0.7551792962  -0.3754802087  -4.834991302   0.3182909635   -2.472419202   -1.211130711   0.4507950072   1.183942381    2.70336375     1.164879299    0.2748521378   3.676830958    2.793053987    -0.7470540483  -1.039250465   3.269006012    1.403636586    -3.203379009   -2.098345286   3.988402966    -2.321164586   -1.469263588   1.999904782    0.3726676229   -4.369977111   3.94558916     3.809022492    -4.394040345   -2.911807611   -1.005811945   4.574358348    1.11737785     -0.9258095035  -4.021528977   3.374946745    -1.246756798   1.030500198    2.895869625    3.325257729    -4.862492141   1.753022248    3.204004028    -3.245255287   -4.274974212   1.700833155    1.369260537    -1.188630024   26312.67738    	2.63127e+04	2.63127e+04
3        NO_ID      -4.274036683   -1.489576708   4.261848811    -2.550234077   -2.745240028   2.046468703    -0.3717300943  4.806865444    1.635518662    1.731771599    2.991185034    -2.118033387   2.136783959    1.22488113     -3.340570696   3.814335154    0.2698519852   -1.901464278   -3.040561541   2.808366955    3.703394269    -3.508700827   -2.917745293   3.598391064    -4.279661855   2.738052309    1.94771569     -3.552452162   -4.424353771   4.301225013    0.5323599963   1.611455428    -3.690268868   -1.117690359   2.696176031    -4.023716544   1.787398297    2.354603107    -3.813085116   -2.7574279     0.7117404706   -0.008906521805 2.068031861    -3.794334544   -3.017748344   -5.080936308   2.324289682    -3.983402814   -4.409665822   -4.610609455   -0.1926621296  2.584610126    1.976154057    2.628673971    4.764051637    -0.2845399335  -4.517169103   4.709362468    3.299631947    -1.08331431    -15.03135      	-1.50313e+01	-1.50313e+01
4        NO_ID      -4.224347667   -2.388354137   2.107720573    -1.195192724   -4.186534013   -4.360289315   -1.823961913   4.478105411    1.736459243    -2.295851314   4.426228828    -1.179567248   2.253662526    -2.458981292   1.332384411    -3.369321574   -2.747740104   0.8723703726   1.654581744    -2.142721641   0.2154753258   4.076843165    3.06149968     2.997122715    3.535576647    2.240537126    -4.021216468   -4.041842097   0.4920462661   1.309571215    0.09453413495  4.781864681    -1.071751457   3.939963988    -4.554357738   -2.658362377   -2.493044832   -5.031247291   -1.995529649   -1.093002106   2.945871151    -1.492701804   2.324289682    4.363101901    -2.32522721    -2.949933775   0.2054750206   0.2911026337   -2.247412336   -0.3529795221  2.743364971    -2.607110813   -2.158034608   -1.665519578   -1.767710196   -0.6714267403  4.526544389    -2.532108524   -1.426137272   3.019935911    -3.462372      	-1.50313e+01	-1.50313e+01
5        NO_ID      -4.010278634   -5.115624866   -2.15678457    2.633674123    -3.482762535   1.058626057    1.112377697    -2.928058107   -3.595578478   2.528670919    -2.27147557    1.127690664    1.347697378    1.350509964    0.8867458113   4.159658193    2.512732933    -2.186785485   1.327071749    2.813054598    -4.149970397   0.3279787591   0.3807928709   0.4379821162   -4.646235542   2.299601428    -1.282382885   -3.947151708   -4.224972686   -2.020842921   1.269882504    -3.556514786   -0.9604980621  1.773960387    1.540515763    -2.033343303   -1.55582873    -0.3411041597  -4.470917692   2.369291055    4.152157964    1.968966338    -1.282695395   2.950558794    4.070592975    3.328382824    3.71620716     -4.85686697    5.065310831    -1.476138798   -4.629360027   -0.9642481765  -2.601798151   3.434636067    1.888963897    4.551232643    -2.416479995   4.544044923    1.824899442    0.8908084353   56.673555      	-1.50313e+01	-1.50313e+01
6        NO_ID      -3.969027375   -0.2014123966  -4.892180548   -4.140595111   -1.339259621   3.004622944    -4.015278787   4.483418073    -4.873742485   3.578077944    -3.225879696   -4.592483901   -0.9436225471  -2.621486251   -3.059312113   3.983402814    2.843680532    3.733395184    -4.93124424    3.001497848    3.281193884    -5.073436079   -3.129626759   -2.287413556   4.499668569    -3.807772454   3.208691671    -3.528701437   4.923118992    -1.875525987   -2.333664968   3.234942473    0.56361095     4.389352702    -0.7489291055  -1.035187841   1.140816065    0.01484420301  -5.038435011   -3.27025605    -0.8245564135  -0.6954899747  2.134908902    4.42497879     1.185817438    -0.3939182714  3.611203955    0.3939182714   -0.2942277291  -0.01546922208 -4.599359111   1.630831019    -4.760926542   3.192441176    2.530545976    2.159909665    -1.922402417   -3.858086489   -4.450604572   4.638110294    1600.373209    	-1.50313e+01	-1.50313e+01
7        NO_ID      -3.802772301   -3.936838893   -2.917120273   2.767740715    4.496543474    -2.643049409   -0.3092281869  -3.224004639   4.274349193    -1.446137883   3.0883755      1.31957152     3.179003265    -1.183942381   -0.2054750206  2.263350322    4.858742027    -4.057467574   -4.224035157   -1.025812555   -4.740925932   3.16275277     2.3117893      4.400915555    5.099061861    1.22488113     -3.320882595   -4.664986114   4.366226997    -4.929369182   -0.8195562609  -5.064998321   4.194346751    1.323321635    -0.689864803   3.663080538    -0.9204968413  2.760865505    1.459575793    1.689582812    1.915527207    3.206191595    4.884367809    -5.08656148    -0.6295504624  3.959652089    4.009341105    -0.03609485153 -1.836462294   4.488418226    -2.123346049   1.779898068    0.001406292917 2.099595325    2.650862148    4.413415937    4.052467421    1.150503861    4.784989776    3.850273751    23173.24014    	-1.50313e+01	-1.50313e+01
8        NO_ID      -3.791209449   -2.930558184   1.402386547    -2.145534227   -2.918057802   -1.797711112   -2.753052767   1.572079226    4.273724174    -3.504013184   4.7824897      0.6964275033   -1.869588305   5.093436689    4.266848964    0.5157969909   -3.404947661   -3.248067873   2.789928892    3.986840419    -5.07937376    -1.060813623   -3.963089694   -0.2817273476  3.006810511    -1.539578234   -0.3232911161  -2.909307535   2.756177862    4.111844234    -4.19497177    -1.241444136   1.131440779    -3.689643849   3.415260475    0.4504824976   1.310821253    -0.4526700644  -4.560295419   0.4714206366   -4.055905026   -3.623079318   4.459667348    -3.816210211   -0.52985992    0.7098654134   -3.730270089   1.068313852    -1.788648335   -1.118002869   -3.254943083   -1.794586016   -0.9489352092  4.588733787    0.006718955046 -3.103375958   4.210284738    -2.406792199   -0.03203222755 -4.374039735   11.502831      	-1.50313e+01	-1.50313e+01
9        NO_ID      -3.785584277   1.355510117    3.696831568    4.696237068    3.604016236    0.03640736106  -1.195505234   -2.5411713     0.9154966887   3.562139958    -0.4520450453  -1.112377697   -4.32997589    2.353040559    0.8292440565   -2.218661458   3.678080996    -2.754302805   3.824335459    -5.083748894   4.572483291    -4.076843165   -2.7508652     4.209972228    1.048313242    -4.793740043   1.526140324    -1.700833155   -0.9223718986  -4.394977874   -4.30966277    1.105189978    -2.255225074   -2.750240181   2.555859249    2.570547197    0.5448603778   3.122751549    -1.618955657   0.5439228492   3.657142857    -0.8114310129  4.476542863    -1.40051149    3.763708609    -1.213630787   -3.730270089   -1.480513932   1.404886624    -1.999592273   -2.48741966    0.5532981353   1.475513779    1.052375866    -4.853429365   -1.018624836   -2.899619739   3.391197241    1.550516068    -3.665893124   14618.13523    	-1.50313e+01	-1.50313e+01
10       NO_ID      -3.724644917   -2.758052919   -1.013312174   2.895869625    2.035843379    -4.632485122   -1.349572436   3.403072604    -4.281536912   -3.594015931   2.814617145    -4.18840907    -4.751863765   1.009562059    4.968120365    -2.039593493   -1.725521409   0.972685934    -1.308946196   4.453417158    -2.330227363   0.5848615986   -3.198691366   -2.937745903   2.803991821    0.1604736473   0.1207849361   3.867149266    -3.478387402   -1.60958037    1.94052797     0.09765923032  -1.621455733   3.594015931    -3.490887783   1.715208594    0.2167253639   -2.131158788   -4.30310007    1.332696921    -4.158720664   -2.176160161   1.683645131    -4.88374279    3.997778253    2.289601123    1.263632313    -3.971527451   -0.7936179693  1.408324229    1.29238319     -4.673736381   -2.179910276   1.347384869    -3.206191595   3.204316538    -1.180504776   3.509950865    3.885274819    -2.624298837   -4.024207      	-1.50313e+01	-1.50313e+01
11       NO_ID      -3.701519211   5.114374828    -3.07462508    2.832742698    -0.6954899747  -4.616547136   2.277100742    3.119313944    2.320852077    0.326728721    1.731771599    -2.07553209    2.018030335    4.4384167      0.5295474105   -1.92740257    4.047467269    4.387477645    3.628704489    -1.324571673   -1.760522477   -2.331164892   -0.1695364238  2.433043001    2.619298685    0.3136033204   2.086469924    -2.724926908   -1.358635212   1.820211798    -0.3351664785  3.862774133    5.009059114    -4.132782373   0.4164189581   -3.85089877    -0.1735990478  -5.036872463   -1.659581896   5.080936308    -0.1001593066  3.758708457    3.731520127    3.839648427    -3.3111948     2.535546129    1.825524461    -2.657737358   -3.713082064   -2.478044374   -2.294601276   -3.675893429   -3.94558916    -5.019996948   3.149314859    1.75833491     1.916777245    -3.320570086   0.29360271     -2.62211127    19612.15369    	-1.50313e+01	-1.50313e+01
