%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         cdv_11         cdv_12         cdv_13         cdv_14         cdv_15         cdv_16         cdv_17         cdv_18         cdv_19         cdv_20         cdv_21         cdv_22         cdv_23         cdv_24         cdv_25         cdv_26         cdv_27         cdv_28         cdv_29         cdv_30         cdv_31         cdv_32         cdv_33         cdv_34         cdv_35         cdv_36         cdv_37         cdv_38         cdv_39         cdv_40         cdv_41         cdv_42         cdv_43         cdv_44         cdv_45         cdv_46         cdv_47         cdv_48         cdv_49         cdv_50         cdv_51         cdv_52         cdv_53         cdv_54         cdv_55         cdv_56         cdv_57         cdv_58         cdv_59         cdv_60         obj_fn         	best_so_far	best_so_far
1        NO_ID      -5.098749351   -3.197753838   0.5598608356   1.87958861     -4.063092746   -0.6295504624  -3.992153081   -3.26369335    3.624641865    -2.605235755   -3.706831874   3.785584277    -3.937463912   0.5445478683   2.273663137    -2.581172521   1.42113712     3.715269631    0.9654982147   4.190909146    2.821179846    -2.813992126   2.916807764    2.224599139    0.7589294107   -4.3237257     2.395854366    0.9583104953   -4.695612049   0.8601825007   4.084655904    3.311507309    3.604016236    1.343634754    -1.17081698    -2.208348643   -2.199598376   -3.658705405   1.411136814    0.05953306681  1.776772973    3.693081454    2.178035218    4.756551408    -3.686206244   -2.502732627   -3.30431959    0.2298507645   4.19528428     2.251787469    -3.540889309   -0.8808081301  4.845304117    2.045531175    0.504234138    1.923964965    -1.167066866   4.338726157    5.037809992    0.107347026    -142.975309    
2        NO_ID      -5.07937376    3.713394574    3.218066958    -4.365601978   -1.412386853   0.6945524461   -0.7711172826  3.795272073    1.702395703    3.37838435     -1.687082736   -1.163004242   -1.403011567   -4.626234931   1.347384869    -4.989371014   3.383697012    4.390602741    -3.331820429   2.353978088    4.494980926    4.375289773    4.061217689    -1.60333018    4.765614185    1.347697378    -2.269600513   -3.312757347   -3.665893124   -2.66305002    0.4142313913   1.260507218    1.244569231    2.978997162    0.7917429121   -0.3192284921  -3.694644002   -2.030530717   -3.403072604   -1.168941923   -3.545889462   -0.2954777673  -0.09015900143 0.07828363903  2.535233619    -4.066530351   -0.1735990478  -0.1010968352  -4.416541032   4.157158116    -4.529981994   4.766239204    0.9654982147   3.361821345    2.384916532    3.015560778    5.099061861    0.8186187323   1.903651845    -4.869054842   521962.6518    	5.21963e+05	5.21963e+05
3        NO_ID      -4.946869716   -3.198066347   -4.027466659   -1.894901578   0.170786462    2.718676717    4.676236457    0.7361162145   1.592704855    1.328946806    -0.08172124393 1.730521561    5.027497177    0.3514169744   1.768960234    0.643300882    1.474263741    1.475513779    4.305912656    2.44679342     -0.9579979858  -1.663332011   -1.674269845   1.874900967    4.633422651    2.03490585     3.596203497    0.5911117893   -0.6767394024  3.62807947     3.445573901    -0.1060969878  -2.637736747   3.211191748    -2.943996094   -1.277695242   -2.883681753   4.770614338    0.8136185797   1.12394055     -4.210909757   4.020591449    -0.9604980621  1.499264504    -0.8773705252  1.539890744    3.141814631    2.990247505    3.35838374     -3.271193579   4.466230049    -3.636829737   3.539326762    -5.096249275   0.3676674703   -4.280911893   -4.80967803    3.534951628    1.661769463    -3.063999756   7063.710263    	7.06371e+03	7.06371e+03
4        NO_ID      -4.637485275   1.251756951    -1.991154515   4.881242714    -0.4101687674  -4.697487106   -3.678393506   -5.1134373     -1.240506607   0.7314285714   4.200909452    4.612797021    2.471794183    3.984965361    1.21175573     -2.952433851   1.985529344    -3.630267037   0.4176689962   -2.354290597   -1.638956267   3.550889615    -2.988684957   3.955589465    3.501200598    1.784898221    0.7254908902   2.302414014    -3.508388318   -1.020812403   3.864961699    3.538076724    -3.156502579   0.5661110263   -2.083657338   4.725612964    1.513639943    -5.079998779   3.222442091    3.804647359    -1.494264351   -4.246223334   -0.6107998901  4.839678945    -1.507077242   -0.2654768517  -2.599298074   -2.475231788   0.297665334    -0.8401818903  -2.25147496    2.151159398    -4.487480697   0.09453413495  3.863086642    -0.1292226936  -0.2157878353  1.487076632    -0.9951866207  3.306507157    -8975.517856   	-8.97552e+03	-8.97552e+03
5        NO_ID      -4.374039735   4.669986267    -1.5089523     3.544951933    -1.532703024   -2.257100131   -0.2176628925  -0.1598486282  -0.3461043123  1.026125065    -2.736802271   4.225910215    0.9917490158   0.02734458449  -4.924994049   4.522169256    2.446168401    -2.944933622   -4.961870174   4.874680013    -1.396136357   2.634924162    -1.919277322   2.262725303    4.353726615    0.7048652608   2.412104862    3.503388165    0.02765709403  1.833962218    3.872774438    4.999683828    -1.436762597   -3.38525956    -1.213318278   -4.294974822   2.043031098    -4.835928831   4.99187109     -2.288038575   -1.022062441   -4.40466567    -1.028937651   0.1348478652   -5.033747368   -4.28309946    -0.195787225   -4.740300913   2.817429731    3.468387097    3.299631947    3.348383435    -4.989996033   -3.504950713   -2.976809595   -1.895526597   0.5770488601   1.426449782    -4.886867885   -1.918027284   -338930.7676   	-3.38931e+05	-3.38931e+05
6        NO_ID      -4.219972533   -3.552764672   -1.622080752   -2.873681448   4.81592822     4.318100528    3.934963836    2.647424543    2.17678518     -4.796865139   -2.086157414   -4.693424482   -4.370289621   -4.95124485    -4.617484664   4.465917539    -4.042467116   -2.5280459     4.153408002    4.852491836    -2.560234382   3.118688925    -4.966245308   -3.150877407   -0.605487228   -2.720864284   -4.141845149   2.158347118    5.100311899    -4.635922727   2.418667562    4.608734397    0.9748735008   4.24247322     -1.543640858   4.101218909    -4.299349956   -1.686145207   3.113063753    -1.583954588   -0.7176781518  4.090281075    -2.318352      -0.5614233833  1.249256874    3.02712363     -1.781460616   0.9248719749   2.077094638    2.382728965    2.974622028    4.369352092    3.428698386    4.333726005    -0.715490585   -0.3904806665  1.055500961    -2.169284951   4.641547899    -3.506200751   -7284.953126   	-3.38931e+05	-3.38931e+05
7        NO_ID      -3.964652242   -2.319602039   -0.8976836451  1.620518204    3.670893277    -3.399947508   3.44588641     0.5839240699   -3.420260628   1.855837886    1.511452376    -4.130282296   0.5342350536   2.417105014    -3.504325694   1.013312174    2.833055208    -1.248944365   2.620861232    3.274006165    -1.996154668   0.1207849361   -1.794898526   3.300881985    -1.915839717   -4.981558275   0.2754771569   -2.621173742   0.1223474837   -1.255507065   -0.08297128208 -1.423012177   0.8189312418   0.5214221625   4.446229438    3.672143315    -0.2514139225  -3.928713645   -2.719926756   2.175535142    -0.8404943999  -0.2670393994  0.1501608325   -4.219035005   3.237442549    -3.24369274    -2.66961272    1.669582202    4.34403882     -3.900275277   -1.308946196   -2.24428724    0.08015869625  1.005811945    1.248944365    -1.645206458   -2.033655812   -3.762146062   3.138689535    3.307444685    -448.956368    	-3.38931e+05	-3.38931e+05
8        NO_ID      -3.80339732    -4.636235237   1.67051973     -4.259036225   -1.405511643   -1.424887234   5.00499649     -1.385511032   0.8036182745   -4.602171697   -1.235193945   -1.00924955    -4.312787866   -5.030934782   -2.516483047   -3.605891293   3.777459029    -3.862774133   2.483044527    -1.614893033   3.657767876    3.037123936    2.503357646    -0.5332975249  1.64364391     1.645831477    -0.7642420728  -2.06896939    -2.115533311   1.321759087    1.753334758    3.605266274    0.2445387127   4.677486496    0.4011059908   4.817178259    -3.317132481   -0.4417322306  -2.731177099   1.143003632    -3.462449416   0.3173534349   1.401761528    -1.42738731    0.2239130833   -3.367446516   4.43154149     1.975529038    -2.482106998   0.9026837977   -1.612392956   3.908400525    -2.704613788   1.262694784    0.1692239143   4.639360332    4.575920896    1.021437422    1.075189062    0.9964366588   -167732.044    	-3.38931e+05	-3.38931e+05
9        NO_ID      -3.467449568   3.423073214    -3.587140721   0.7164281137   1.061751152    4.473417768    -3.269943541   0.8186187323   4.169971007    -4.117156896   -2.39991699    -2.346790368   -4.646235542   4.085593432    1.506452223    -0.4679830317  -0.3361040071  3.657767876    2.104282968    1.975529038    3.802459792    -3.064624775   -2.469919126   0.2595391705   -3.433073519   -3.629016999   -1.467076022   -2.978997162   3.632142094    3.388697165    -4.09371868    -1.155191504   1.787710807    0.6995525987   0.1792242195   0.8695577868   2.243974731    0.6404882962   -4.833116245   4.533732109    3.78995941     2.648987091    0.263289285    -4.178408765   3.015873287    4.838741417    1.149878842    0.8117435224   -2.085532395   4.717487716    -4.989683523   2.519920652    -2.018655354   0.8820581683   2.079282205    -0.3126657918  -2.381791437   2.414604938    2.893682058    1.747084567    -40.543968     	-3.38931e+05	-3.38931e+05
10       NO_ID      -2.93274575    0.6383007294   -1.530827967   1.999279763    -1.063938719   -5.11968749    3.417760552    1.029875179    -1.204255501   1.34644734     -4.335288553   2.413667409    0.6089248329   3.393697317    3.563077486    1.178942228    -0.8051808222  0.04859523301  2.779303568    3.608391369    -3.347758415   -1.019249855   -5.031872311   -2.69648854    -3.840898465   -4.578420972   -4.498106021   -0.4861085849  -3.485575121   0.05890804773  -2.85836848    3.560264901    -4.580921049   -0.24641377    2.129283731    -3.517763604   4.378727378    -3.963402203   -4.982808313   0.8661201819   1.302070986    -5.016246834   -0.07703360088 -3.47276223    -2.234911954   1.273945128    2.355853145    2.700551164    3.650892666    2.66305002     2.191785638    2.323039644    4.690299387    -2.318352      -1.576766869   -0.6967400128  1.864588153    1.592392346    -1.829587085   3.005560472    -12405.52493   	-3.38931e+05	-3.38931e+05
11       NO_ID      -2.368978545   -3.619954222   1.24519425     5.089374065    0.9142466506   3.02087344     -1.889276406   0.8679952391   -4.569358196   -5.025934629   4.884367809    -1.972403943   4.172471084    4.668111209    4.06684286     -0.8514322336  0.1829743339   1.656769311    -4.020903958   4.954057436    1.837712333    -2.821492355   -1.307383648   -4.684674215   3.106501053    -1.348947417   -3.620266732   3.56088992     2.792741478    -5.09281167    0.2457887509   -3.602453688   2.516483047    4.492793359    2.200848415    3.942151555    1.915214698    -0.8201812799  -4.330600909   -2.875869015   4.184346446    1.267069918    -2.696176031   -2.086782434   -1.000499283   2.972746971    -1.766460158   1.566141545    -2.62273629    -3.748395642   3.897150182    1.770835292    3.596828516    -3.126501663   -1.066126286   5.095311747    -1.260507218   2.915870235    -3.825585498   -2.068031861   2495.543931    	-3.38931e+05	-3.38931e+05
