FE	Run 1	Run 2	Run 3	Run 4	Run 5	Run 6	Run 7	Run 8	Run 9	Run 10	Average
1	192261.0	-12845.4	-1343.63	-223514.0	4675.17	304371.0	145587.0	26312.7	521963.0	-729.021	95673.7819
2	-129044.0	-12845.4	-1343.63	-223514.0	798.163	-222.92	-138178.0	-15.0313	7063.71	-729.021	-49803.012930000004
3	-129044.0	-12845.4	-1343.63	-223514.0	-71194.0	-13805.4	-138178.0	-15.0313	-8975.52	-729.021	-59964.40023000001
4	-129044.0	-12845.4	-1343.63	-223514.0	-71194.0	-13805.4	-138178.0	-15.0313	-338931.0	-729.021	-92959.94823000001
5	-129044.0	-12845.4	-1343.63	-223514.0	-71194.0	-13805.4	-138178.0	-15.0313	-338931.0	-729.021	-92959.94823000001
6	-135209.0	-12845.4	-1343.63	-223514.0	-71194.0	-13805.4	-138178.0	-15.0313	-338931.0	-729.021	-93576.44823000001
7	-135209.0	-12845.4	-178819.0	-223514.0	-134782.0	-13805.4	-138178.0	-15.0313	-338931.0	-748.63	-117684.74612999998
8	-135209.0	-12845.4	-178819.0	-223514.0	-134782.0	-13805.4	-138178.0	-15.0313	-338931.0	-748.63	-117684.74612999998
9	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-13805.4	-138178.0	-15.0313	-338931.0	-10017.9	-119443.63313
10	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-63327.4	-138178.0	-15.0313	-338931.0	-62777.0	-129671.74313
11	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-63327.4	-138178.0	-15.0313	-338931.0	-62777.0	-129671.74313
12	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-63327.4	-138178.0	-15.0313	-338931.0	-62777.0	-129671.74313
13	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-63327.4	-138178.0	-15.0313	-338931.0	-62777.0	-129671.74313
14	-135209.0	-21165.0	-178819.0	-223514.0	-134782.0	-63327.4	-138178.0	-15.0313	-338931.0	-62777.0	-129671.74313
15	-135209.0	-21165.0	-178819.0	-223514.0	-688356.0	-63327.4	-138178.0	-2347.5	-628353.0	-62777.0	-214204.59
